window_number,emotion_score
0,5.882950963222417
1,5.872068965517241
2,5.8710715816545225
3,5.887205128205129
4,5.8850393013100435
5,5.876108932461873
6,5.853205619412516
7,5.857690344534241
8,5.83403350515464
9,5.859152901313003
10,5.868061655405405
11,5.898089515126398
12,5.91607600165221
13,5.907775954041854
14,5.935225701504677
15,5.947052238805971
16,5.929759036144579
17,5.956263463131731
18,5.9461332784862195
19,5.971742549668874
20,5.9726313559322035
21,5.998740868070476
22,6.0045350318471336
23,6.0067541261108754
24,5.982218029350105
25,5.983861512319457
26,5.967345132743362
27,5.9897507270461166
28,5.99816513761468
29,5.973008298755187
30,5.972748028227481
31,5.95105459057072
32,5.9667648261758695
33,5.945925774877651
34,5.938747433264887
35,5.92124591503268
36,5.918656045751634
37,5.9124727272727275
38,5.924588477366254
39,5.9057805383022774
40,5.911075794621026
41,5.9442986798679875
42,5.941986672219908
43,5.94218151540383
44,5.941069496462755
45,5.962548373816386
46,5.965002096436058
47,5.99169164882227
48,6.0039710884353745
49,6.020572160546541
50,5.992664418212479
51,5.985522765598651
52,5.9760268794624105
53,6.017659395973155
54,6.021817042606517
55,5.997677966101694
56,5.99157960199005
57,5.987862531433362
58,5.95594127806563
59,5.961679553264604
60,5.974225834046194
61,5.93446049277825
62,5.914623287671232
63,5.929446076374318
64,5.948335467349551
65,5.954718763417776
66,5.973717676981772
67,5.961088348271447
68,5.955483184333759
69,5.984253699788583
70,6.001600858369098
71,6.013824289405684
72,6.022000840689365
73,6.012237117720988
74,6.005878607809847
75,6.006885451505016
76,6.038633540372671
77,6.019779940753279
78,5.996916631755341
79,5.9868013327780085
80,5.96989482541018
81,5.956379236379237
82,5.957226962457337
83,5.963855268726196
84,5.935949152542373
85,5.924844083724903
86,5.89582026282323
87,5.885547886108715
88,5.8824218749999995
89,5.886938864628821
90,5.864564643799472
91,5.870359840071079
92,5.8974338624338625
93,5.910825067628494
94,5.940146406388642
95,5.953364075537989
96,5.9762849533954725
97,5.966712818222421
98,5.994407079646017
99,6.002585064074238
