name,sentence_id,new_name,,
Tin Woodman,232,Tin Woodman,,
Scarecrow,233,Scarecrow Bear,,
Woot,246,Woot the Wanderer,,
Wanderer,246,Woot the Wanderer,,
Woot,246,Woot the Wanderer,,
Scarecrow,247,Scarecrow Bear,,
Woot,247,Woot the Wanderer,,
Tin Woodman,247,Tin Woodman,,
Scarecrow,249,Scarecrow Bear,,
Woot,250,Woot the Wanderer,,
Tin Woodman,251,Tin Woodman,,
Scarecrow,254,Scarecrow Bear,,
Tin Woodman,257,Tin Woodman,,
Scarecrow,258,Scarecrow Bear,,
Woot,259,Woot the Wanderer,,
Wanderer,259,Woot the Wanderer,,
Scarecrow,261,Scarecrow Bear,,
Tin Woodman,263,Tin Woodman,,
Woot,265,Woot the Wanderer,,
Woot,266,Woot the Wanderer,,
Scarecrow,270,Scarecrow Bear,,
Dorothy,271,Dorothy the Lamb,,
Ozma,271,Royal Ozma,,
Tin Man,273,Tin Woodman,,
Woot,274,Woot the Wanderer,,
Scarecrow,274,Scarecrow Bear,,
Tin Woodman,275,Tin Woodman,,
Woot,278,Woot the Wanderer,,
Scarecrow,279,Scarecrow Bear,,
Woot,279,Woot the Wanderer,,
Scarecrow,285,Scarecrow Bear,,
Woot,286,Woot the Wanderer,,
Tin Woodman,289,Tin Woodman,,
Bal,293,Bal,,
Scarecrow,295,Scarecrow Bear,,
Bal,300,Bal,,
Loon,318,Loon,,
Bal,318,Bal,,
Scarecrow,319,Scarecrow Bear,,
Tin Woodman,319,Tin Woodman,,
Woot the Wanderer,319,Woot the Wanderer,,
Loon,326,Loon,,
Bal,328,Bal,,
Loon,330,Loon,,
Loon,336,Loon,,
Scarecrow,341,Scarecrow Bear,,
Scarecrow,342,Scarecrow Bear,,
Loon,343,Loon,,
Tin Woodman,343,Tin Woodman,,
Til,344,Til,,
Loon,344,Loon,,
Woot,344,Woot the Wanderer,,
Wanderer,344,Woot the Wanderer,,
Woot,346,Woot the Wanderer,,
Loon,347,Loon,,
Til,362,Til,,
Woot,363,Woot the Wanderer,,
Tin Woodman,363,Tin Woodman,,
Loon,364,Loon,,
Woot,365,Woot the Wanderer,,
Wanderer,366,Woot the Wanderer,,
Woot,367,Woot the Wanderer,,
Wanderer,367,Woot the Wanderer,,
Woot,373,Woot the Wanderer,,
Wanderer,374,Woot the Wanderer,,
Tin Woodman,374,Tin Woodman,,
Woot,376,Woot the Wanderer,,
Scarecrow,376,Scarecrow Bear,,
Tin Woodman,377,Tin Woodman,,
Loon,378,Loon,,
Bal,381,Bal,,
Scarecrow,384,Scarecrow Bear,,
Woot,385,Woot the Wanderer,,
Woot,386,Woot the Wanderer,,
Tin Woodman,387,Tin Woodman,,
Scarecrow,390,Scarecrow Bear,,
Tin Woodman,392,Tin Woodman,,
Scarecrow,393,Scarecrow Bear,,
Woot,393,Woot the Wanderer,,
Yoop,395,Yoop,,
Giantess,395,Giantess,,
Tin Woodman,404,Tin Woodman,,
Woot,406,Woot the Wanderer,,
Woot,410,Woot the Wanderer,,
Scarecrow,412,Scarecrow Bear,,
Yoop,414,Yoop,,
Yoop,416,Yoop,,
Woot,419,Woot the Wanderer,,
Nick Chopper,419,Emperor of the Winkies,,
Woot,420,Woot the Wanderer,,
Scarecrow,424,Scarecrow Bear,,
Giantess,433,Giantess,,
Giantess,438,Giantess,,
Woot,440,Woot the Wanderer,,
Giantess,441,Giantess,,
Madam,442,Madam,,
Scarecrow,442,Scarecrow Bear,,
Yoop,444,Yoop,,
Giantess,445,Giantess,,
Woot,445,Woot the Wanderer,,
Yoop,446,Yoop,,
Yoop,447,Yoop,,
Woot,448,Woot the Wanderer,,
Yoop,450,Yoop,,
Yoop,451,Yoop,,
Yoop,452,Yoop,,
Woot,456,Woot the Wanderer,,
Scarecrow,457,Scarecrow Bear,,
Nick Chopper,457,Emperor of the Winkies,,
Yoop,458,Yoop,,
Witch,460,Wicked Witch,,
Woot,460,Woot the Wanderer,,
Witch,461,Wicked Witch,,
Witch,462,Wicked Witch,,
Giantess,464,Giantess,,
Scarecrow,465,Scarecrow Bear,,
Yoop,465,Yoop,,
Polychrome,468,Polly the Rainbow,,
Tin Woodman,469,Tin Woodman,,
Polychrome,470,Polly the Rainbow,,
Giantess,471,Giantess,,
Polychrome,472,Polly the Rainbow,,
Rainbow,473,Rainbow 's,,
Poly,473,Polly the Rainbow,,
Woot,477,Woot the Wanderer,,
Polychrome,477,Polly the Rainbow,,
Giantess,478,Giantess,,
Giantess,479,Giantess,,
Polychrome,480,Polly the Rainbow,,
Rainbow,480,Rainbow 's,,
Yookoohoo,480,Yookoohoo,,
Scarecrow,481,Scarecrow Bear,,
Yoop,481,Yoop,,
Tin Woodman,483,Tin Woodman,,
Scarecrow,488,Scarecrow Bear,,
Yoop,488,Yoop,,
Tin Woodman,488,Tin Woodman,,
Yoop,488,Yoop,,
Scarecrow,489,Scarecrow Bear,,
Giantess,494,Giantess,,
Scarecrow,496,Scarecrow Bear,,
Tin Woodman,496,Tin Woodman,,
Woot,502,Woot the Wanderer,,
Woot,506,Woot the Wanderer,,
Scarecrow,511,Scarecrow Bear,,
Mercy,512,Mercy,,
Scarecrow,520,Scarecrow Bear,,
Tin Woodman,521,Tin Woodman,,
Woot,522,Woot the Wanderer,,
Wanderer,522,Woot the Wanderer,,
Giantess,523,Giantess,,
Woot,525,Woot the Wanderer,,
Scarecrow,525,Scarecrow Bear,,
Tin Woodman,525,Tin Woodman,,
Yoop,525,Yoop,,
Giantess,526,Giantess,,
Yoop,530,Yoop,,
Tin Man,531,Tin Woodman,,
Scarecrow,531,Scarecrow Bear,,
Giantess,532,Giantess,,
Tin Woodman,533,Tin Woodman,,
Nimmie Amee,533,Nimmie Amee,,
Scarecrow,534,Scarecrow Bear,,
Ozma,534,Royal Ozma,,
Oz,534,Ruler of Oz,,
Dorothy,534,Dorothy the Lamb,,
Jack Pumpkinhead,534,Jack Pumpkinhead,,
Pipt,534,Crooked Magician,,
Tik-tok,534,Tik-tok,,
Woot,535,Woot the Wanderer,,
Giantess,536,Giantess,,
Loons,536,Loons,,
Yoop,537,Yoop,,
Ozma,538,Royal Ozma,,
Scarecrow,538,Scarecrow Bear,,
Glinda the Good,538,Glinda the Sorceress,,
Wizard,538,Wizard of Oz,,
Ozma,538,Royal Ozma,,
Ozma,539,Royal Ozma,,
Giantess,539,Giantess,,
Ozma,541,Royal Ozma,,
Tin Woodman,541,Tin Woodman,,
Ozma,542,Royal Ozma,,
Ozma,543,Royal Ozma,,
Giantess,543,Giantess,,
Yoop,547,Yoop,,
Giantess,548,Giantess,,
Tin Woodman,550,Tin Woodman,,
Scarecrow,550,Scarecrow Bear,,
Woot,550,Woot the Wanderer,,
Wanderer,550,Woot the Wanderer,,
Scarecrow,554,Scarecrow Bear,,
Emperor,554,Emperor,,
Woot,555,Woot the Wanderer,,
Giantess,556,Giantess,,
Giantess,560,Giantess,,
Woot,562,Woot the Wanderer,,
Giantess,564,Giantess,,
Woot,564,Woot the Wanderer,,
Woot,566,Woot the Wanderer,,
Yoop,567,Yoop,,
Woot,578,Woot the Wanderer,,
Yoop,583,Yoop,,
Scarecrow,585,Scarecrow Bear,,
Tin Man,587,Tin Woodman,,
Tin Woodman,587,Tin Woodman,,
Owl,587,Owl,,
Nick Chopper,588,Emperor of the Winkies,,
Owl,588,Owl,,
Giantess,592,Giantess,,
Tin Owl,592,Tin Woodman,,
Scarecrow,597,Scarecrow Bear,,
Yoop,597,Yoop,,
Tin Woodman,597,Tin Woodman,,
Woot,598,Woot the Wanderer,,
Scarecrow,607,Scarecrow Bear,,
Scarecrow,609,Scarecrow Bear,,
Scarecrow,610,Scarecrow Bear,,
Brown Bear,611,Scarecrow of Oz,,
Brown Bear,611,Scarecrow of Oz,,
Scarecrow,611,Scarecrow Bear,,
Woot,612,Woot the Wanderer,,
Brown Bear,613,Scarecrow of Oz,,
Scarecrow,614,Scarecrow Bear,,
Bear,614,Scarecrow of Oz,,
Owl,619,Owl,,
Woot,619,Woot the Wanderer,,
