name,sentence_id,new_name,,
Hank,295,Hank,,
Betsy,296,Betsy Bobbin,,
Rose,298,Rose Princess,,
Rose,298,Rose Princess,,
Betsy,299,Betsy Bobbin,,
Hank,299,Hank,,
Betsy,302,Betsy Bobbin,,
Hank,304,Hank,,
Betsy,304,Betsy Bobbin,,
Moss Rose,306,Moss Rose,,
Betsy,308,Betsy Bobbin,,
Hank,309,Hank,,
Hank,310,Hank,,
Hank,311,Hank,,
Hank,312,Hank,,
Hank,313,Hank,,
Betsy,318,Betsy Bobbin,,
Hank,323,Hank,,
Moss Rose,324,Moss Rose,,
Betsy,325,Betsy Bobbin,,
Tea Rose,326,Tea Rose,,
Royal Gardener,326,Royal Gardener,,
Royal Gardener,328,Royal Gardener,,
Betsy,328,Betsy Bobbin,,
Rose,330,Rose Princess,,
Royal Gardener,332,Royal Gardener,,
Hank,336,Hank,,
Gardener,336,Royal Gardener,,
Betsy,337,Betsy Bobbin,,
Hank,337,Hank,,
Gardener,338,Royal Gardener,,
Betsy,339,Betsy Bobbin,,
Gardener,339,Royal Gardener,,
Betsy,342,Betsy Bobbin,,
Royal Gardener,346,Royal Gardener,,
Betsy,347,Betsy Bobbin,,
Betsy,351,Betsy Bobbin,,
Shaggy Man,353,Shaggy Man,,
Betsy,356,Betsy Bobbin,,
Hank,358,Hank,,
Betsy,358,Betsy Bobbin,,
Royal Gardener,359,Royal Gardener,,
Roses,359,Roses,,
Shaggy,362,Shaggy Man,,
Gardener,365,Royal Gardener,,
Shaggy,367,Shaggy Man,,
Gardener,368,Royal Gardener,,
Hank,372,Hank,,
Royal Gardener,373,Royal Gardener,,
Betsy,374,Betsy Bobbin,,
Shaggy,378,Shaggy Man,,
Betsy,381,Betsy Bobbin,,
Ozma,383,Royal Ozma,,
Betsy,384,Betsy Bobbin,,
Ozma,387,Royal Ozma,,
Dorothy,389,Dorothy the Lamb,,
Dorothy,389,Dorothy the Lamb,,
Shaggy,389,Shaggy Man,,
Betsy,391,Betsy Bobbin,,
Oz,392,of Oz,,
Shaggy,393,Shaggy Man,,
Betsy,396,Betsy Bobbin,,
Shaggy,397,Shaggy Man,,
Shaggy,405,Shaggy Man,,
Shaggy,409,Shaggy Man,,
Nome King,410,Roquat of the Rocks,,
Ruggedo,413,Roquat of the Rocks,,
Ruggedo,418,Roquat of the Rocks,,
Shaggy,424,Shaggy Man,,
Betsy,427,Betsy Bobbin,,
Shaggy,428,Shaggy Man,,
Love Magnet,432,Love Magnet,,
Betsy,433,Betsy Bobbin,,
Shaggy,437,Shaggy Man,,
Betsy,438,Betsy Bobbin,,
Hank,439,Hank,,
Shaggy,439,Shaggy Man,,
Royal Gardener,440,Royal Gardener,,
Betsy,442,Betsy Bobbin,,
Shaggy Man,442,Shaggy Man,,
Gardener,442,Royal Gardener,,
Shaggy,442,Shaggy Man,,
Shaggy Man,447,Shaggy Man,,
Gardener,449,Royal Gardener,,
Betsy,451,Betsy Bobbin,,
Shaggy,452,Shaggy Man,,
Gardener,454,Royal Gardener,,
Royal Bushes,456,Royal Bushes,,
Betsy,457,Betsy Bobbin,,
Shaggy,461,Shaggy Man,,
Betsy,462,Betsy Bobbin,,
Shaggy Man,464,Shaggy Man,,
Gardener,465,Royal Gardener,,
Gardener,466,Royal Gardener,,
Shaggy,467,Shaggy Man,,
Gardener,467,Royal Gardener,,
Shaggy,468,Shaggy Man,,
Betsy,468,Betsy Bobbin,,
Hank,468,Hank,,
Betsy,474,Betsy Bobbin,,
Royal,475,Royal Chamberlain,,
Betsy,477,Betsy Bobbin,,
Gardener,478,Royal Gardener,,
Betsy,479,Betsy Bobbin,,
Roses,479,Roses,,
Gardener,480,Royal Gardener,,
Shaggy,485,Shaggy Man,,
Royal Bush,486,Royal Bushes,,
Ozga,487,Rose Princess,,
Ozma,487,Royal Ozma,,
Oz,487,of Oz,,
Gardener,488,Royal Gardener,,
Roses,488,Roses,,
Betsy,488,Betsy Bobbin,,
Shaggy,488,Shaggy Man,,
Betsy,491,Betsy Bobbin,,
Shaggy,491,Shaggy Man,,
Rose,491,Rose Princess,,
Betsy,492,Betsy Bobbin,,
Shaggy,492,Shaggy Man,,
Gardener,493,Royal Gardener,,
Roses,493,Roses,,
Roses,494,Roses,,
Betsy,496,Betsy Bobbin,,
Royal Bush,504,Royal Bushes,,
Moss Rose,505,Moss Rose,,
Gardener,506,Royal Gardener,,
Tea Rose,507,Tea Rose,,
Shaggy,508,Shaggy Man,,
Ozga,511,Rose Princess,,
Roses,511,Roses,,
Shaggy,512,Shaggy Man,,
Betsy,514,Betsy Bobbin,,
Gardener,516,Royal Gardener,,
Magnet,519,Love Magnet,,
Gardener,522,Royal Gardener,,
Gardener,525,Royal Gardener,,
Shaggy,526,Shaggy Man,,
Ozga,526,Rose Princess,,
Shaggy,526,Shaggy Man,,
Gardener,529,Royal Gardener,,
Hank,532,Hank,,
Gardener,532,Royal Gardener,,
Roses,533,Roses,,
Hank,533,Hank,,
Betsy,534,Betsy Bobbin,,
Ozga,534,Rose Princess,,
Shaggy,534,Shaggy Man,,
Rose,536,Rose Princess,,
Betsy,536,Betsy Bobbin,,
Hank,536,Hank,,
Shaggy,536,Shaggy Man,,
Royal Gardener,537,Royal Gardener,,
Roses,538,Roses,,
Shaggy,539,Shaggy Man,,
Hank,541,Hank,,
Betsy,541,Betsy Bobbin,,
Hank,543,Hank,,
Hank,544,Hank,,
Shaggy Man,544,Shaggy Man,,
Ozga,545,Rose Princess,,
Shaggy Man,546,Shaggy Man,,
Shaggy,547,Shaggy Man,,
Ruggedo,548,Roquat of the Rocks,,
Betsy,550,Betsy Bobbin,,
Shaggy,551,Shaggy Man,,
Ruggedo,553,Roquat of the Rocks,,
Betsy,554,Betsy Bobbin,,
Shaggy,556,Shaggy Man,,
Polychrome,560,Polly the Rainbow,,
Rainbow,564,Rainbow,,
Polychrome,564,Polly the Rainbow,,
Polychrome,565,Polly the Rainbow,,
Polychrome,570,Polly the Rainbow,,
Betsy Bobbin,577,Betsy Bobbin,,
Polychrome,577,Polly the Rainbow,,
Hank,577,Hank,,
Princess,577,Princess,,
Shaggy,577,Shaggy Man,,
Polychrome,579,Polly the Rainbow,,
Polychrome,586,Polly the Rainbow,,
Shaggy Man,587,Shaggy Man,,
Polychrome,589,Polly the Rainbow,,
