name,sentence_id,new_name,,
Sorcerer,428,Sorcerers,,
Dorothy,429,Dorothy the Lamb,,
Sorcerer,429,Sorcerers,,
Wizard,431,Wizard of Oz,,
Prince,432,Prince,,
Wizard,434,Wizard of Oz,,
Sorcerer,436,Sorcerers,,
Sorcerers,439,Sorcerers,,
Prince,439,Prince,,
Wizard,440,Wizard of Oz,,
Wizard,442,Wizard of Oz,,
Sorcerer,442,Sorcerers,,
Jim,443,Jim the Cab-horse,,
Zeb,443,Zebediah,,
Wizard,443,Wizard of Oz,,
Jim,444,Jim the Cab-horse,,
Sorcerer,445,Sorcerers,,
Jim,445,Jim the Cab-horse,,
Dorothy,448,Dorothy the Lamb,,
Zeb,448,Zebediah,,
Dorothy,459,Dorothy the Lamb,,
Jim,461,Jim the Cab-horse,,
Wizard,463,Wizard of Oz,,
Wizard,466,Wizard of Oz,,
Jim,467,Jim the Cab-horse,,
Dorothy,469,Dorothy the Lamb,,
Sorcerer,472,Sorcerers,,
Jim,484,Jim the Cab-horse,,
Wizard,484,Wizard of Oz,,
Zeb,484,Zebediah,,
Dorothy,484,Dorothy the Lamb,,
Dorothy,489,Dorothy the Lamb,,
Mangaboos,489,Mangaboos,,
Dorothy,492,Dorothy the Lamb,,
Zeb,499,Zebediah,,
Wizard,501,Wizard of Oz,,
Royal Bush,504,Royal Bush,,
Dorothy,507,Dorothy the Lamb,,
Wizard,510,Wizard of Oz,,
Prince,511,Prince,,
Royal,512,Royal Bush,,
Dorothy,514,Dorothy the Lamb,,
Wizard,519,Wizard of Oz,,
Dorothy,521,Dorothy the Lamb,,
Zeb,524,Zebediah,,
Wizard,526,Wizard of Oz,,
Sorcerer,526,Sorcerers,,
Dorothy,528,Dorothy the Lamb,,
Wizard,530,Wizard of Oz,,
Dorothy,534,Dorothy the Lamb,,
Wizard,536,Wizard of Oz,,
Eureka,537,Eureka the Pink Kitten,,
Wizard,538,Wizard of Oz,,
Eureka,539,Eureka the Pink Kitten,,
Eureka,542,Eureka the Pink Kitten,,
Dorothy,542,Dorothy the Lamb,,
Eureka,543,Eureka the Pink Kitten,,
Zeb,544,Zebediah,,
Wizard,551,Wizard of Oz,,
Dorothy,551,Dorothy the Lamb,,
Wizard,555,Wizard of Oz,,
Dorothy,557,Dorothy the Lamb,,
Dorothy,560,Dorothy the Lamb,,
Wizard,561,Wizard of Oz,,
Dorothy,561,Dorothy the Lamb,,
Wizard,564,Wizard of Oz,,
Prince,573,Prince,,
Dorothy,577,Dorothy the Lamb,,
Zeb,577,Zebediah,,
Wizard,577,Wizard of Oz,,
Dorothy,579,Dorothy the Lamb,,
Wizard,580,Wizard of Oz,,
Dorothy,583,Dorothy the Lamb,,
Eureka,584,Eureka the Pink Kitten,,
Jim,584,Jim the Cab-horse,,
Zeb,585,Zebediah,,
Wizard,587,Wizard of Oz,,
Jim,588,Jim the Cab-horse,,
Eureka,588,Eureka the Pink Kitten,,
Wizard,588,Wizard of Oz,,
Wizard,590,Wizard of Oz,,
Dorothy,590,Dorothy the Lamb,,
Dorothy,592,Dorothy the Lamb,,
Wizard,593,Wizard of Oz,,
Sorcerer,594,Sorcerers,,
Zeb,596,Zebediah,,
Wizard,598,Wizard of Oz,,
Eureka,602,Eureka the Pink Kitten,,
Dorothy,605,Dorothy the Lamb,,
Wizard,609,Wizard of Oz,,
Eureka,613,Eureka the Pink Kitten,,
Dorothy,613,Dorothy the Lamb,,
Dorothy,620,Dorothy the Lamb,,
Wizard,622,Wizard of Oz,,
Dorothy,624,Dorothy the Lamb,,
Wizard,627,Wizard of Oz,,
Wizard,636,Wizard of Oz,,
Eureka,639,Eureka the Pink Kitten,,
Eureka,640,Eureka the Pink Kitten,,
Dorothy,640,Dorothy the Lamb,,
Dorothy,648,Dorothy the Lamb,,
Eureka,650,Eureka the Pink Kitten,,
Wizard,651,Wizard of Oz,,
Jim,652,Jim the Cab-horse,,
Wizard,656,Wizard of Oz,,
Jim,656,Jim the Cab-horse,,
Wizard,658,Wizard of Oz,,
Sorcerer,658,Sorcerers,,
Jim,659,Jim the Cab-horse,,
Dorothy,660,Dorothy the Lamb,,
Dorothy,663,Dorothy the Lamb,,
Wizard,664,Wizard of Oz,,
Dorothy,666,Dorothy the Lamb,,
Zeb,666,Zebediah,,
Zeb,671,Zebediah,,
Wizard,673,Wizard of Oz,,
Dorothy,676,Dorothy the Lamb,,
Zeb,677,Zebediah,,
Jim,677,Jim the Cab-horse,,
Eureka,677,Eureka the Pink Kitten,,
Wizard,679,Wizard of Oz,,
Zeb,680,Zebediah,,
Wizard,681,Wizard of Oz,,
Zeb,682,Zebediah,,
Dorothy,686,Dorothy the Lamb,,
Wizard,691,Wizard of Oz,,
Dorothy,693,Dorothy the Lamb,,
Wizard,695,Wizard of Oz,,
Jim,697,Jim the Cab-horse,,
Dorothy,700,Dorothy the Lamb,,
Wizard,702,Wizard of Oz,,
Sorcerer,706,Sorcerers,,
