name,sentence_id,new_name,,
Dorothy,235,Dorothy the Lamb,,
Dorothy,236,Dorothy the Lamb,,
Dorothy,240,Dorothy the Lamb,,
Ozma,245,Royal Ozma,,
Ozma,249,Royal Ozma,,
Dorothy,253,Dorothy the Lamb,,
Dorothy,256,Dorothy the Lamb,,
Ozma,256,Royal Ozma,,
Ozma,258,Royal Ozma,,
Dorothy,258,Dorothy the Lamb,,
Ozma,259,Royal Ozma,,
Dorothy,259,Dorothy the Lamb,,
Dorothy,261,Dorothy the Lamb,,
Ozma,261,Royal Ozma,,
Ozma,263,Royal Ozma,,
Dorothy,265,Dorothy the Lamb,,
Ozma,267,Royal Ozma,,
Dorothy,273,Dorothy the Lamb,,
Ozma,275,Royal Ozma,,
Dorothy,276,Dorothy the Lamb,,
Ozma,277,Royal Ozma,,
Ozma,281,Royal Ozma,,
Ozma,283,Royal Ozma,,
Dorothy,283,Dorothy the Lamb,,
Princess of Oz,283,Princess of Oz,,
Ozma,285,Royal Ozma,,
Dorothy,285,Dorothy the Lamb,,
Dorothy,287,Dorothy the Lamb,,
Ozma,289,Royal Ozma,,
Dorothy,289,Dorothy the Lamb,,
Dorothy,291,Dorothy the Lamb,,
Dorothy,299,Dorothy the Lamb,,
Glinda,299,Glinda the Sorceress,,
Ozma,300,Royal Ozma,,
Dorothy,301,Dorothy the Lamb,,
Ozma,304,Royal Ozma,,
Dorothy,304,Dorothy the Lamb,,
Dorothy,306,Dorothy the Lamb,,
Ozma,306,Royal Ozma,,
Oz,307,Oz,,
Ozma,308,Royal Ozma,,
Oz,309,Oz,,
Ozma,310,Royal Ozma,,
Dorothy,310,Dorothy the Lamb,,
Dorothy,314,Dorothy the Lamb,,
Dorothy,316,Dorothy the Lamb,,
Ozma,317,Royal Ozma,,
Dorothy,317,Dorothy the Lamb,,
Ozma,323,Royal Ozma,,
Dorothy,324,Dorothy the Lamb,,
Oz,327,Oz,,
Glinda the Sorceress,327,Glinda the Sorceress,,
Dorothy,331,Dorothy the Lamb,,
Ozma,332,Royal Ozma,,
Dorothy,336,Dorothy the Lamb,,
Dorothy,337,Dorothy the Lamb,,
Ozma,339,Royal Ozma,,
Ozma,342,Royal Ozma,,
Dorothy,342,Dorothy the Lamb,,
Dorothy,344,Dorothy the Lamb,,
Ozma,344,Royal Ozma,,
Dorothy,346,Dorothy the Lamb,,
Dorothy,348,Dorothy the Lamb,,
Glinda,350,Glinda the Sorceress,,
Dorothy,350,Dorothy the Lamb,,
Glinda,351,Glinda the Sorceress,,
Ozma,351,Royal Ozma,,
Sorceress,351,Sorceress,,
Dorothy,353,Dorothy the Lamb,,
Glinda,353,Glinda the Sorceress,,
Wizard,353,Wizard of Oz,,
Ozma,354,Royal Ozma,,
Dorothy,355,Dorothy the Lamb,,
Dorothy,356,Dorothy the Lamb,,
Ozma,357,Royal Ozma,,
Dorothy,359,Dorothy the Lamb,,
Ozma,360,Royal Ozma,,
Ozma,361,Royal Ozma,,
Ozma,365,Royal Ozma,,
Dorothy,368,Dorothy the Lamb,,
Ozma,369,Royal Ozma,,
Ozma,371,Royal Ozma,,
Dorothy,374,Dorothy the Lamb,,
Ozma,379,Royal Ozma,,
Dorothy,387,Dorothy the Lamb,,
Ozma,388,Royal Ozma,,
Dorothy,389,Dorothy the Lamb,,
Ozma,389,Royal Ozma,,
Ozma,391,Royal Ozma,,
Ozma,393,Royal Ozma,,
Dorothy,393,Dorothy the Lamb,,
Ozma,401,Royal Ozma,,
Dorothy,403,Dorothy the Lamb,,
Ozma,404,Royal Ozma,,
Ozma,408,Royal Ozma,,
Dorothy,410,Dorothy the Lamb,,
Ozma,411,Royal Ozma,,
Dorothy,413,Dorothy the Lamb,,
Dorothy,416,Dorothy the Lamb,,
Ozma,418,Royal Ozma,,
Ozma,420,Royal Ozma,,
Dorothy,422,Dorothy the Lamb,,
Dorothy,428,Dorothy the Lamb,,
Ozma,436,Royal Ozma,,
Dorothy,438,Dorothy the Lamb,,
Ozma,439,Royal Ozma,,
Flathead,439,Flatheads,,
Ozma,444,Royal Ozma,,
Ozma,448,Royal Ozma,,
Dorothy,448,Dorothy the Lamb,,
Flathead,454,Flatheads,,
Ozma,455,Royal Ozma,,
Dorothy,455,Dorothy the Lamb,,
Ozma,456,Royal Ozma,,
Ozma,460,Royal Ozma,,
Dorothy,465,Dorothy the Lamb,,
Ozma,473,Royal Ozma,,
Flathead,476,Flatheads,,
Dorothy,477,Dorothy the Lamb,,
Fairy,482,Fairy,,
Dorothy,485,Dorothy the Lamb,,
Dorothy,489,Dorothy the Lamb,,
Flatheads,490,Flatheads,,
Su-dic,490,Su-dic,,
Sorcerer,495,Sorcerer,,
Skeezers,497,Skeezers,,
Dorothy,498,Dorothy the Lamb,,
Su-dic,502,Su-dic,,
Ozma,503,Royal Ozma,,
Su-dic,506,Su-dic,,
Flathead,507,Flatheads,,
Lurline,507,Lurline,,
Lurline,508,Lurline,,
Oz,508,Oz,,
Ozma,508,Royal Ozma,,
Ozma,510,Royal Ozma,,
Su-dic,512,Su-dic,,
Rora Flathead,516,Rora Flathead,,
Skeezers,517,Skeezers,,
Rora,518,Rora Flathead,,
Skeezer,519,Skeezer,,
Rora,519,Rora Flathead,,
Golden Pig,519,Golden Pig,,
Ozma,521,Royal Ozma,,
Su-dic,522,Su-dic,,
Rora Flathead,523,Rora Flathead,,
Dorothy,524,Dorothy the Lamb,,
Rora,525,Rora Flathead,,
Ozma,527,Royal Ozma,,
Flatheads,527,Flatheads,,
Su-dic,528,Su-dic,,
Ozma,530,Royal Ozma,,
Pooh,532,Pooh,,
Su-dic,532,Su-dic,,
Ozma,534,Royal Ozma,,
Dorothy,537,Dorothy the Lamb,,
Oz,537,Oz,,
Ozma,538,Royal Ozma,,
Skeezers,540,Skeezers,,
Rora,541,Rora Flathead,,
Rora,541,Rora Flathead,,
Flatheads,542,Flatheads,,
Skeezers,542,Skeezers,,
Skeezers,543,Skeezers,,
Ozma,545,Royal Ozma,,
Rora,546,Rora Flathead,,
Su-dic,549,Su-dic,,
Flathead,554,Flatheads,,
Flathead,557,Flatheads,,
Oz,557,Oz,,
Ozma,559,Royal Ozma,,
Su-dic,561,Su-dic,,
Flatheads,562,Flatheads,,
Ozma,565,Royal Ozma,,
Dorothy,565,Dorothy the Lamb,,
Ozma,566,Royal Ozma,,
Dorothy,567,Dorothy the Lamb,,
Dorothy,568,Dorothy the Lamb,,
Ozma,569,Royal Ozma,,
Dorothy,569,Dorothy the Lamb,,
Ozma,570,Royal Ozma,,
Dorothy,572,Dorothy the Lamb,,
Ozma,573,Royal Ozma,,
Flatheads,575,Flatheads,,
Golden Pig,577,Golden Pig,,
Su-dic,578,Su-dic,,
Ozma,580,Royal Ozma,,
Dorothy,580,Dorothy the Lamb,,
Ozma,582,Royal Ozma,,
Su-dic,583,Su-dic,,
Ozma,584,Royal Ozma,,
Dorothy,584,Dorothy the Lamb,,
Ozma,586,Royal Ozma,,
Dorothy,588,Dorothy the Lamb,,
Ozma,589,Royal Ozma,,
Su-dic,590,Su-dic,,
Dorothy,591,Dorothy the Lamb,,
Dorothy,593,Dorothy the Lamb,,
Dorothy,596,Dorothy the Lamb,,
Flatheads,597,Flatheads,,
Ozma,597,Royal Ozma,,
Dorothy,597,Dorothy the Lamb,,
Dorothy,603,Dorothy the Lamb,,
Ozma,605,Royal Ozma,,
Dorothy,608,Dorothy the Lamb,,
Skeezers,610,Skeezers,,
Dorothy,615,Dorothy the Lamb,,
Ozma,615,Royal Ozma,,
Dorothy,616,Dorothy the Lamb,,
Ozma,617,Royal Ozma,,
Dorothy,617,Dorothy the Lamb,,
Ozma,618,Royal Ozma,,
Ozma,621,Royal Ozma,,
Dorothy,621,Dorothy the Lamb,,
Ozma,622,Royal Ozma,,
Ozma,624,Royal Ozma,,
Ozma,630,Royal Ozma,,
Dorothy,630,Dorothy the Lamb,,
Dorothy,633,Dorothy the Lamb,,
Ozma,635,Royal Ozma,,
Dorothy,635,Dorothy the Lamb,,
Ozma,638,Royal Ozma,,
Dorothy,638,Dorothy the Lamb,,
Dorothy,640,Dorothy the Lamb,,
Ozma,642,Royal Ozma,,
Dorothy,642,Dorothy the Lamb,,
Ozma,642,Royal Ozma,,
Dorothy,642,Dorothy the Lamb,,
Dorothy,644,Dorothy the Lamb,,
Ozma,647,Royal Ozma,,
Dorothy,648,Dorothy the Lamb,,
Ozma,650,Royal Ozma,,
Ozma,652,Royal Ozma,,
Ruler of Oz,653,Ruler of Oz,,
Ozma,660,Royal Ozma,,
Sorcerer,665,Sorcerer,,
Ozma,670,Royal Ozma,,
Flatheads,670,Flatheads,,
Ozma,670,Royal Ozma,,
Su-dic,671,Su-dic,,
Flatheads,671,Flatheads,,
Ozma,672,Royal Ozma,,
Ozma,673,Royal Ozma,,
Oz,676,Oz,,
Flathead,684,Flatheads,,
Ozma,689,Royal Ozma,,
Oz,689,Oz,,
Dorothy,689,Dorothy the Lamb,,
Dorothy,691,Dorothy the Lamb,,
Ozma,693,Royal Ozma,,
Ozma,695,Royal Ozma,,
Lady Aurex,702,Lady Aurex,,
Ozma,703,Royal Ozma,,
Dorothy,703,Dorothy the Lamb,,
Dorothy,704,Dorothy the Lamb,,
Ozma,704,Royal Ozma,,
Ozma,705,Royal Ozma,,
Lady Aurex,705,Lady Aurex,,
Dorothy,706,Dorothy the Lamb,,
Ozma,707,Royal Ozma,,
Dorothy,707,Dorothy the Lamb,,
Lady Aurex,709,Lady Aurex,,
Lady Aurex,710,Lady Aurex,,
Skeezers,711,Skeezers,,
Ozma,712,Royal Ozma,,
Lady Aurex,712,Lady Aurex,,
Lady Aurex,713,Lady Aurex,,
Ozma,714,Royal Ozma,,
Lady Aurex,716,Lady Aurex,,
Ozma,718,Royal Ozma,,
Aurex,720,Lady Aurex,,
Ozma,720,Royal Ozma,,
Ozma,720,Royal Ozma,,
Ozma,725,Royal Ozma,,
Dorothy,725,Dorothy the Lamb,,
Ozma,727,Royal Ozma,,
Lady Aurex,727,Lady Aurex,,
Skeezers,727,Skeezers,,
Aurex,729,Lady Aurex,,
Ozma,729,Royal Ozma,,
Dorothy,732,Dorothy the Lamb,,
Lady Aurex,734,Lady Aurex,,
Dorothy,735,Dorothy the Lamb,,
Ozma,736,Royal Ozma,,
Ozma,741,Royal Ozma,,
Lady Aurex,741,Lady Aurex,,
Su-dic,743,Su-dic,,
Su-dic,743,Su-dic,,
dic,743,dic,,
Rora,743,Rora Flathead,,
Golden Pig,743,Golden Pig,,
Dorothy,744,Dorothy the Lamb,,
Witch Rora,744,Rora Flathead,,
Dorothy,746,Dorothy the Lamb,,
Ozma,747,Royal Ozma,,
Flatheads,748,Flatheads,,
Skeezers,748,Skeezers,,
Flatheads,750,Flatheads,,
Lady Aurex,762,Lady Aurex,,
Flatheads,763,Flatheads,,
Su-dic,764,Su-dic,,
dic,764,dic,,
Rora,764,Rora Flathead,,
Rora,765,Rora Flathead,,
Skeezers,768,Skeezers,,
Ozma,771,Royal Ozma,,
Dorothy,771,Dorothy the Lamb,,
Ozma,772,Royal Ozma,,
Lady Aurex,773,Lady Aurex,,
Su-dic,774,Su-dic,,
dic,774,dic,,
Rora,776,Rora Flathead,,
Su-dic,776,Su-dic,,
Rora,777,Rora Flathead,,
Golden Pig,778,Golden Pig,,
Dorothy,780,Dorothy the Lamb,,
Ozma,781,Royal Ozma,,
Lady Aurex,782,Lady Aurex,,
Dorothy,783,Dorothy the Lamb,,
Lady Aurex,784,Lady Aurex,,
Ozma,787,Royal Ozma,,
Lady Aurex,790,Lady Aurex,,
Flatheads,791,Flatheads,,
Ozma,792,Royal Ozma,,
Dorothy,792,Dorothy the Lamb,,
Lady Aurex,793,Lady Aurex,,
Ozma,793,Royal Ozma,,
Dorothy,793,Dorothy the Lamb,,
Flatheads,794,Flatheads,,
Dorothy,797,Dorothy the Lamb,,
Lady Aurex,798,Lady Aurex,,
Ozma,798,Royal Ozma,,
Dorothy,798,Dorothy the Lamb,,
Aurex,800,Lady Aurex,,
Ozma,801,Royal Ozma,,
Dorothy,802,Dorothy the Lamb,,
Dorothy,806,Dorothy the Lamb,,
Su-dic,807,Su-dic,,
Ozma,808,Royal Ozma,,
Dorothy,809,Dorothy the Lamb,,
Oz,810,Oz,,
Dorothy,814,Dorothy the Lamb,,
Ozma,815,Royal Ozma,,
Dorothy,816,Dorothy the Lamb,,
Ozma,817,Royal Ozma,,
Lady Aurex,819,Lady Aurex,,
Dorothy,823,Dorothy the Lamb,,
Lady Aurex,825,Lady Aurex,,
Lady Aurex,827,Lady Aurex,,
Dorothy,830,Dorothy the Lamb,,
Flatheads,836,Flatheads,,
Dorothy,837,Dorothy the Lamb,,
Ozma,838,Royal Ozma,,
Lady Aurex,839,Lady Aurex,,
Lady Aurex,846,Lady Aurex,,
Aurex,849,Lady Aurex,,
Skeezers,855,Skeezers,,
Su-dic,856,Su-dic,,
Skeezers,860,Skeezers,,
