name,sentence_id,title,first,middle,last,suffix,nickname,gender
Toto,314,none,Toto,none,none,none,none,male
Dorothy,314,none,Dorothy,none,none,none,none,female
Dorothy,317,none,Dorothy,none,none,none,none,female
Dorothy,323,none,Dorothy,none,none,none,none,female
Button,323,none,Button,none,none,none,none,male
Button-Bright,323,none,Button-Bright,none,none,none,none,male
Toto,325,none,Toto,none,none,none,none,male
Dorothy,325,none,Dorothy,none,none,none,none,female
Dorothy,329,none,Dorothy,none,none,none,none,female
King,329,King,none,none,none,none,none,male
Button,331,none,Button,none,none,none,none,male
Button-Bright,331,none,Button-Bright,none,none,none,none,male
Royal Hairiness,334,Royal,none,none,Hairiness,none,none,male
Dorothy,339,none,Dorothy,none,none,none,none,female
Dorothy,340,none,Dorothy,none,none,none,none,female
Fox,342,none,Fox,none,none,none,none,male
Ozma,344,none,Ozma,none,none,none,none,female
Oz,344,none,Oz,none,none,none,none,male
Ozma,345,none,Ozma,none,none,none,none,female
Ozma,347,none,Ozma,none,none,none,none,female
Dorothy,348,none,Dorothy,none,none,none,none,female
Dorothy,351,none,Dorothy,none,none,none,none,female
Ozma,352,none,Ozma,none,none,none,none,female
Fox,358,none,Fox,none,none,none,none,male
Uncle Henry,360,Uncle,Henry,none,none,none,none,male
Dorothy,367,none,Dorothy,none,none,none,none,female
Fox,368,none,Fox,none,none,none,none,male
Dorothy,369,none,Dorothy,none,none,none,none,female
Butterfield,372,none,Butterfield,none,none,none,none,female
Dorothy,375,none,Dorothy,none,none,none,none,female
Fox,381,none,Fox,none,none,none,none,male
Dorothy,384,none,Dorothy,none,none,none,none,female
Button,384,none,Button,none,none,none,none,male
Button-Bright,384,none,Button-Bright,none,none,none,none,male
Dox,385,none,Dox,none,none,none,none,male
Button,385,none,Button,none,none,none,none,male
Button-Bright,385,none,Button-Bright,none,none,none,none,male
Button,389,none,Button,none,none,none,none,male
Button-Bright,389,none,Button-Bright,none,none,none,none,male
Button,392,none,Button,none,none,none,none,male
Button-Bright,392,none,Button-Bright,none,none,none,none,male
Dox,395,none,Dox,none,none,none,none,male
King Renard,396,King,Renard,none,none,none,none,male
Button,398,none,Button,none,none,none,none,male
Button-Bright,398,none,Button-Bright,none,none,none,none,male
Button,406,none,Button,none,none,none,none,male
Button-Bright,406,none,Button-Bright,none,none,none,none,male
Dox,406,none,Dox,none,none,none,none,male
Button,412,none,Button,none,none,none,none,male
Button-Bright,412,none,Button-Bright,none,none,none,none,male
Button,416,none,Button,none,none,none,none,male
Button-Bright,416,none,Button-Bright,none,none,none,none,male
Button,420,none,Button,none,none,none,none,male
Button-Bright,420,none,Button-Bright,none,none,none,none,male
Dorothy,422,none,Dorothy,none,none,none,none,female
Button,424,none,Button,none,none,none,none,male
Button-Bright,424,none,Button-Bright,none,none,none,none,male
Button,426,none,Button,none,none,none,none,male
Button-Bright,426,none,Button-Bright,none,none,none,none,male
Button,431,none,Button,none,none,none,none,male
Dorothy,434,none,Dorothy,none,none,none,none,female
Renard IV,435,none,Renard,none,IV,none,none,male
Button,437,none,Button,none,none,none,none,male
Button-Bright,437,none,Button-Bright,none,none,none,none,male
Dorothy,438,none,Dorothy,none,none,none,none,female
Toto,439,none,Toto,none,none,none,none,male
Dorothy,439,none,Dorothy,none,none,none,none,female
Button,440,none,Button,none,none,none,none,male
Button-Bright,440,none,Button-Bright,none,none,none,none,male
Dorothy,443,none,Dorothy,none,none,none,none,female
Button,444,none,Button,none,none,none,none,male
Button-Bright,444,none,Button-Bright,none,none,none,none,male
Button,447,none,Button,none,none,none,none,male
Button-Bright,447,none,Button-Bright,none,none,none,none,male
Dorothy,451,none,Dorothy,none,none,none,none,female
King Renard,453,King,Renard,none,none,none,none,male
Dorothy,455,none,Dorothy,none,none,none,none,female
Ozma,456,none,Ozma,none,none,none,none,female
Button,462,none,Button,none,none,none,none,male
Button-Bright,462,none,Button-Bright,none,none,none,none,male
Dorothy,462,none,Dorothy,none,none,none,none,female
Button,463,none,Button,none,none,none,none,male
Button-Bright,463,none,Button-Bright,none,none,none,none,male
Button,466,none,Button,none,none,none,none,male
Button-Bright,466,none,Button-Bright,none,none,none,none,male
Dorothy,470,none,Dorothy,none,none,none,none,female
Ozma,471,none,Ozma,none,none,none,none,female
Button,472,none,Button,none,none,none,none,male
Button-Bright,472,none,Button-Bright,none,none,none,none,male
Dorothy,473,none,Dorothy,none,none,none,none,female
