name,sentence_id,,,,
Wheeler,619,,,,
Dorothy,621,,,,
Wheeler,621,,,,
Langwidere,623,,,,
Wheeler,624,,,,
Tiktok,626,,,,
Langwidere,627,,,,
Dorothy,627,,,,
Dorothy,631,,,,
Shoo,632,,,,
Billina,632,,,,
Billina,636,,,,
Billina,639,,,,
Dorothy,640,,,,
Langwidere,642,,,,
Dorothy,643,,,,
Billina,644,,,,
Dorothy Gale,648,,,,
Tiktok,648,,,,
Billina,648,,,,
Langwidere,650,,,,
Langwidere,651,,,,
Langwidere,656,,,,
Dorothy Gale,657,,,,
Tiktok,657,,,,
Billina,657,,,,
Dorothy Gale,660,,,,
Tiktok,662,,,,
Nanda,666,,,,
Nanda,669,,,,
Langwidere,672,,,,
Nanda,672,,,,
Langwidere,673,,,,
Langwidere,675,,,,
Oriental,685,,,,
Nanda,688,,,,
Langwidere,688,,,,
Langwidere,689,,,,
Langwidere,692,,,,
Langwidere,695,,,,
Dorothy,697,,,,
Billina,698,,,,
Tiktok,699,,,,
Dorothy,701,,,,
Dorothy,703,,,,
Dorothy,708,,,,
Dorothy,710,,,,
Langwidere,710,,,,
Dorothy,715,,,,
Dorothy,719,,,,
Langwidere,723,,,,
Nanda,724,,,,
Nanda,725,,,,
Dorothy,727,,,,
Tiktok,729,,,,
Tiktok,732,,,,
Dorothy,733,,,,
Dorothy,738,,,,
Dorothy,740,,,,
Langwidere,741,,,,
Dorothy,741,,,,
Langwidere,744,,,,
Nanda,744,,,,
Billina,744,,,,
Nanda,747,,,,
Billina,749,,,,
Langwidere,751,,,,
Nanda,752,,,,
Dorothy,752,,,,
Dorothy,770,,,,
Lion,772,,,,
Tiger,772,,,,
Dorothy,775,,,,
Ozma,775,,,,
Oz,775,,,,
Tiktok,775,,,,
Dorothy,776,,,,
Scarecrow,776,,,,
Nick Chopper,777,,,,
Tin Woodman,777,,,,
Tin Woodman,778,,,,
Dorothy,780,,,,
Oz,780,,,,
Scarecrow,780,,,,
Tin Woodman,780,,,,
Ozma,782,,,,
Lion,783,,,,
Tiger,783,,,,
Dorothy,783,,,,
Scarecrow,784,,,,
Dorothy,785,,,,
Dorothy,788,,,,
Dorothy,789,,,,
Scarecrow,789,,,,
Dorothy Gale,790,,,,
Dorothy,792,,,,
Scarecrow,792,,,,
Scarecrow,796,,,,
Scarecrow,799,,,,
Dorothy,800,,,,
Wheeler,802,,,,
Tin Woodman,804,,,,
Scarecrow,805,,,,
Langwidere,808,,,,
Ozma,809,,,,
Dorothy,809,,,,
Dorothy,810,,,,
Ozma,811,,,,
Dorothy,813,,,,
Oz,813,,,,
Ozma,814,,,,
Tin Woodman,814,,,,
Ozma,815,,,,
Lion,815,,,,
Tiger,815,,,,
Nanda,816,,,,
Langwidere,816,,,,
Oz,817,,,,
Scarecrow,819,,,,
Tin Woodman,820,,,,
Ozma,821,,,,
Ozma,825,,,,
Ev,827,,,,
Nome,827,,,,
Langwidere,828,,,,
Ozma,832,,,,
Langwidere,834,,,,
Ozma,838,,,,
Ozma,839,,,,
Scarecrow,839,,,,
Tiktok,844,,,,
Dor,846,,,,
Scarecrow,847,,,,
Dorothy,848,,,,
Tiktok,851,,,,
Scarecrow,852,,,,
Smith,854,,,,
Scarecrow,857,,,,
Tiktok,861,,,,
Tin Woodman,862,,,,
Tiktok,863,,,,
Tin Woodman,864,,,,
Scarecrow,864,,,,
Tiktok,866,,,,
Scarecrow,871,,,,
Tiktok,873,,,,
Scarecrow,874,,,,
Tiktok,875,,,,
Scarecrow,876,,,,
Tiktok,878,,,,
Ozma,879,,,,
Dorothy,879,,,,
Langwidere,879,,,,
Dorothy,880,,,,
Scarecrow,880,,,,
Tin Woodman,881,,,,
Dorothy,882,,,,
Tiktok,883,,,,
Scarecrow,883,,,,
Tin Woodman,883,,,,
Dorothy,884,,,,
Billina,884,,,,
Scarecrow,884,,,,
Billina,885,,,,
Dorothy,890,,,,
Billina,890,,,,
Cowardly Lion,890,,,,
Tiger,890,,,,
Cowardly Lion,891,,,,
Tiger,891,,,,
Dorothy,892,,,,
Dorothy,895,,,,
Lion,895,,,,
Tiger,904,,,,
Dorothy,908,,,,
Dorothy,912,,,,
Hungry Tiger,913,,,,
Dorothy,920,,,,
Dorothy,925,,,,
Dorothy,929,,,,
Billina,930,,,,
