name,sentence_id
Dorothy,937
Button,938
Bright,938
Dorothy,942
Toto,943
Button,945
Bright,945
Dorothy,947
Polychrome,947
Polychrome,949
Polly,950
Dorothy,950
Polychrome,955
Dorothy,956
Button,957
Bright,957
Toto,958
Dorothy,958
Dorothy,960
Scoodlers,960
Dorothy,968
Scoodlers,968
Button,969
Bright,969
Polychrome,972
Scoodlers,972
Dorothy,972
Dorothy,979
Button,982
Bright,982
Toto,982
Scoodlers,986
Scoodlers,987
Scoodlers,993
Button,994
Bright,994
Toto,995
Scoodlers,996
Toto,996
Scoodler,997
Toto,998
Scoodlers,998
Dorothy,998
Rainbow,999
Scoodlers,999
Scoodlers,1003
Dorothy,1003
Scoodlers,1008
Scoodlers,1010
Dorothy,1012
Scoodlers,1014
Button,1014
Bright,1014
Dorothy,1014
Polly,1014
Button,1016
Bright,1016
Scoodlers,1017
Rainbow,1019
Scoodlers,1020
Dorothy,1021
Scoodlers,1022
Scoodlers,1027
Dorothy,1028
Button,1038
Bright,1038
Dorothy,1041
Polly,1042
Scoodlers,1048
Scoodler,1048
Scoodler,1054
Polychrome,1055
Polly,1056
Dorothy,1057
Button,1057
Bright,1057
Polychrome,1058
Scoodler,1059
Rainbow,1059
Dorothy,1061
Polly,1061
Button,1062
Bright,1062
Dorothy,1063
Toto,1063
Polly,1063
Button,1064
Bright,1064
Scoodlers,1065
Dorothy,1067
Polly,1067
Scoodlers,1067
Button,1068
Bright,1068
Dorothy,1068
Scoodlers,1070
Scoodler,1073
Scoodlers,1076
Button,1077
Bright,1077
Scoodlers,1079
Scoodlers,1080
Dorothy,1081
Button,1082
Bright,1082
Dorothy,1094
Button,1096
Bright,1096
Dorothy,1097
Rainbow,1098
Button,1100
Bright,1100
Polly,1101
Dorothy,1101
Toto,1104
Button,1106
Bright,1106
Dorothy,1111
Polly,1111
Polychrome,1112
Dorothy,1113
Polychrome,1114
Dorothy,1115
Ozma,1118
Nome King,1118
Polly,1120
Button,1122
Bright,1122
Love Magnet,1123
Dorothy,1124
Johnny Dooit,1125
Johnny,1126
Johnny Dooit,1129
Dorothy,1135
Johnny Dooit,1135
Johnny,1136
Shaggy Man,1141
Johnny Dooit,1142
Dorothy,1142
Toto,1142
Button,1142
Bright,1142
Rainbow,1142
Dorothy,1142
Johnny Dooit,1144
Dorothy,1149
Johnny Dooit,1153
Dorothy,1155
Johnny Dooit,1156
Dorothy,1158
Johnny Dooit,1161
Dorothy,1167
Button,1167
Bright,1167
Polly,1167
Johnny Dooit,1168
Johnny Dooit,1171
Dorothy,1179
Johnny Dooit,1179
Dorothy,1187
Toto,1187
Button,1188
Bright,1188
Dorothy,1188
Polly,1188
Dorothy,1195
Polychrome,1196
Dorothy,1204
Button,1204
Bright,1204
Toto,1204
Polly,1204
Toto,1205
Dorothy,1207
Polly,1208
Button,1208
Bright,1208
Button,1209
Bright,1209
Dorothy,1213
Dorothy,1226
Button,1233
Bright,1233
Nick Chopper,1235
Wizard,1235
Button,1239
Bright,1239
Scarecrow,1242
Tin Woodman,1242
Winkies,1242
Polly,1243
Dorothy,1244
Nick Chopper,1245
Button,1246
Bright,1246
Ozma,1250
Oz,1250
Ozma,1251
Ozma,1252
Button,1253
Bright,1253
Polychrome,1255
Dorothy,1258
Button,1259
Bright,1259
Polly,1261
Dorothy,1261
Button,1261
Bright,1261
Dorothy,1263
Truth Pond,1265
Button,1266
Bright,1266
Dorothy,1267
Ozma,1271
Button,1272
Bright,1272
Button,1275
Bright,1275
Dox,1275
Foxville,1275
Polly,1276
Dorothy,1278
Button,1283
Dorothy,1289
Button,1290
Bright,1290
Dorothy,1296
Button,1298
Bright,1298
Dorothy,1301
Polychrome,1302
Polly,1305
Dorothy,1305
Rainbow,1306
Dorothy,1308
Billina,1310
Dorothy,1310
Billina,1311
Dorothy,1315
Billina,1315
Dorothy,1315
Billina,1316
Toto,1317
Dorothy,1317
Billina,1320
Toto,1321
Dorothy,1321
Tik,1322
Billina,1323
Toto,1324
Dorothy,1324
Uncle Henry,1324
Toto,1325
Billina,1325
Toto,1326
Billina,1327
Dorothy,1328
Billina,1329
Billina,1330
Toto,1332
Toto,1333
Toto,1333
Dorothy,1334
Billina,1335
Tik,1336
Tik,1339
Billina,1339
Button,1340
Bright,1340
Tik,1342
Polly the Rainbow,1342
Button,1342
Bright,1342
Toto,1342
Toto,1343
Oz,1343
Dor,1345
Dor,1348
Billina,1350
Dorothy,1350
Dorothy,1351
Billina,1355
Dorothy,1357
Billina,1359
Dorothy,1363
Billina,1364
Dorothy,1364
Tik,1366
Dorothy,1367
Button,1368
Bright,1368
Polly,1369
Billina,1370
Tik,1370
Dorothy,1372
Dorothy,1373
Tik,1373
Oz,1375
Dorothy,1377
Goody,1380
Dorothy,1380
Nick Chopper,1381
Billina,1383
Tin Woodman,1383
Dorothy,1384
Ozma,1384
Dorothy,1385
Polychrome,1386
Button,1387
Bright,1387
Button,1389
Bright,1389
Dorothy,1389
Button,1390
Bright,1390
Dorothy,1390
Billina,1390
Polly,1391
Toto,1392
Nick Chopper,1394
Dorothy,1396
Emp'ror,1397
Billina,1398
Button,1400
Bright,1400
Dorothy,1401
Nick Chopper,1403
Emperor,1403
Dorothy,1404
Toto,1406
Toto,1407
Dorothy,1407
Dorothy,1408
Scarecrow,1408
Wizard,1408
Ozma,1408
Tin Woodman,1409
Dorothy,1409
