window_number,emotion_score
0,5.966351791530944
1,5.966351791530944
2,5.966351791530944
3,5.966351791530944
4,5.990218181818182
5,5.99766393442623
6,5.989950000000001
7,5.899464285714285
8,5.787712418300654
9,5.8482352941176465
10,5.813725490196078
11,5.909448818897638
12,6.013928571428571
13,6.081698113207547
14,6.056989247311828
15,6.026216216216215
16,6.10470588235294
17,6.076307692307691
18,6.03728813559322
19,6.03728813559322
20,6.03728813559322
21,6.03728813559322
22,6.03728813559322
23,6.03728813559322
24,6.03728813559322
25,6.03728813559322
26,6.03728813559322
27,6.03728813559322
28,5.964153846153845
29,5.964153846153845
30,5.964153846153845
31,5.964153846153845
32,5.964153846153845
33,5.946825396825396
34,5.752678571428571
35,5.384305555555555
36,5.412470588235294
37,5.547867647058823
38,5.544339622641509
39,5.51825806451613
40,5.5094771241830065
41,5.5094771241830065
42,5.5094771241830065
43,5.5094771241830065
44,5.5094771241830065
45,5.5094771241830065
46,5.568132530120482
47,5.580526315789473
48,5.602486187845304
49,5.653350515463917
50,5.6764
51,5.6877450980392155
52,5.6877450980392155
53,5.6877450980392155
54,5.701161616161616
55,5.701161616161616
56,5.701161616161616
57,5.701161616161616
58,5.715514018691589
59,5.715514018691589
60,5.794486486486487
61,5.88
62,5.908723404255319
63,5.985333333333333
64,6.143880597014925
65,6.143880597014925
66,6.143880597014925
67,6.143880597014925
68,6.143880597014925
69,6.143880597014925
70,6.143880597014925
71,6.143880597014925
72,6.116296296296296
73,6.1289795918367345
74,6.167692307692308
75,6.070769230769231
76,5.9655000000000005
77,5.8931249999999995
78,5.8931249999999995
79,5.8931249999999995
80,5.8931249999999995
81,5.8931249999999995
82,5.8931249999999995
83,5.8931249999999995
84,5.115
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,5.981666666666666
98,5.981666666666666
99,5.981666666666666
