window_number,emotion_score
0,0
1,0
2,0
3,0
4,6.050000000000001
5,5.930909090909092
6,5.930909090909092
7,5.685714285714286
8,5.685714285714286
9,5.685714285714286
10,5.685714285714286
11,5.685714285714286
12,5.685714285714286
13,5.685714285714286
14,5.685714285714286
15,5.685714285714286
16,5.685714285714286
17,5.685714285714286
18,5.685714285714286
19,5.685714285714286
20,5.685714285714286
21,5.685714285714286
22,5.685714285714286
23,5.685714285714286
24,5.685714285714286
25,5.859310344827586
26,5.859310344827586
27,5.859310344827586
28,5.859310344827586
29,5.859310344827586
30,5.828799999999998
31,5.815555555555556
32,5.815555555555556
33,6.011724137931034
34,6.003333333333334
35,6.003333333333334
36,6.003333333333334
37,6.1362903225806456
38,6.07112676056338
39,6.07112676056338
40,6.07112676056338
41,6.047866666666667
42,6.047866666666667
43,6.0522368421052635
44,5.908241758241758
45,5.844795918367346
46,5.844795918367346
47,5.650347826086956
48,5.650347826086956
49,5.650347826086956
50,5.625314685314685
51,5.552096774193549
52,5.552096774193549
53,5.552096774193549
54,5.552096774193549
55,5.552096774193549
56,5.552096774193549
57,5.552096774193549
58,5.552096774193549
59,5.5505084745762705
60,5.625416666666666
61,5.58776923076923
62,5.513043478260871
63,5.424484848484848
64,5.522592592592592
65,5.522592592592592
66,5.53725
67,5.546984924623115
68,5.609103139013453
69,5.631826484018264
70,5.632604651162791
71,5.807240000000001
72,5.819464285714286
73,5.855016722408027
74,5.8710927152317876
75,5.860990415335463
76,5.895580645161291
77,5.895929487179487
78,5.904241486068111
79,5.944273255813953
80,5.952664756446992
81,5.952664756446992
82,5.931317829457365
83,5.9213265306122445
84,5.9213265306122445
85,5.9173
86,5.8914435695538065
87,5.924371584699454
88,5.9779178885630495
89,6.007327044025158
90,5.997909407665505
91,5.997909407665505
92,6.0062318840579705
93,6.002857142857144
94,6.044839857651246
95,6.044839857651246
96,6.024916387959865
97,5.97554716981132
98,5.9834979423868315
99,6.047688679245284
