window_number,emotion_score
0,6.1099531615925065
1,6.095081585081585
2,6.047261904761906
3,6.070791366906475
4,6.079405940594059
5,6.117105263157895
6,6.135621621621621
7,6.148342696629213
8,6.186637168141593
9,6.209457142857143
10,6.1698045602605855
11,6.10813953488372
12,6.0825221238938045
13,6.160775193798449
14,6.098595041322314
15,6.167826086956522
16,6.181288659793815
17,6.170207468879668
18,6.155802469135802
19,6.180996441281138
20,6.182995951417004
21,6.192376681614349
22,6.14995670995671
23,6.172520325203252
24,6.151449275362319
25,6.149450171821306
26,6.056587301587301
27,6.091900826446281
28,6.07268115942029
29,6.098508474576271
30,6.113003412969284
31,6.09918439716312
32,6.139821428571428
33,6.08554006968641
34,6.085071942446043
35,6.116792452830189
36,6.045604395604395
37,6.046853448275861
38,6.042304147465437
39,6.061904761904762
40,6.067379032258064
41,6.076527777777778
42,6.044976303317536
43,6.0316
44,6.055112359550561
45,5.966774193548386
46,6.021884057971015
47,6.051354838709678
48,6.033623188405797
49,6.050588235294118
50,6.121682242990654
51,6.121682242990654
52,6.121682242990654
53,6.244603174603175
54,6.284576271186441
55,6.355208333333334
56,6.355208333333334
57,6.414411764705882
58,6.414411764705882
59,6.27904761904762
60,6.266153846153846
61,5.796756756756757
62,5.786857142857143
63,5.786857142857143
64,5.848301886792452
65,5.961397849462364
66,5.926454545454545
67,6.0649999999999995
68,6.0668421052631585
69,6.0668421052631585
70,6.0668421052631585
71,6.057967032967032
72,6.057967032967032
73,6.0504519774011305
74,6.130130718954248
75,6.125364238410596
76,6.125364238410596
77,6.140364963503651
78,6.161935483870969
79,6.2573684210526315
80,6.039166666666667
81,6.0120000000000005
82,5.99
83,5.99
84,6.0208
85,6.0208
86,5.98095238095238
87,5.98095238095238
88,5.98095238095238
89,6.08
90,6.08
91,6.046060606060606
92,6.046060606060606
93,6.046060606060606
94,6.16
95,6.16
96,6.223529411764706
97,5.929600000000001
98,5.929600000000001
99,5.929600000000001
