window_number,emotion_score
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,6.353333333333333
17,6.353333333333333
18,6.353333333333333
19,6.353333333333333
20,6.353333333333333
21,6.353333333333333
22,6.353333333333333
23,6.353333333333333
24,6.353333333333333
25,6.045555555555556
26,6.1226666666666665
27,6.1226666666666665
28,6.038787878787879
29,6.038787878787879
30,6.038787878787879
31,6.038787878787879
32,6.038787878787879
33,6.038787878787879
34,6.038787878787879
35,6.038787878787879
36,6.038787878787879
37,6.0180952380952375
38,0
39,0
40,0
41,0
42,6.353333333333333
43,6.353333333333333
44,6.353333333333333
45,6.353333333333333
46,6.353333333333333
47,6.353333333333333
48,6.353333333333333
49,6.353333333333333
50,6.353333333333333
51,6.313863636363638
52,6.282203389830509
53,6.282203389830509
54,6.26404255319149
55,6.26404255319149
56,6.300704225352113
57,5.910978260869564
58,5.784173228346457
59,5.8054477611940305
60,5.817299270072993
61,5.788484848484849
62,5.681172839506173
63,5.665460122699386
64,5.676768292682927
65,5.676768292682927
66,5.676768292682927
67,5.676768292682927
68,5.523257575757575
69,5.727647058823529
70,5.800123456790123
71,5.789594594594595
72,5.886
73,6.013513513513513
74,6.075
75,6.11655737704918
76,6.11655737704918
77,6.11655737704918
78,6.2098198198198205
79,5.908591549295775
80,5.896158940397351
81,5.89641975308642
82,5.89641975308642
83,5.799543147208122
84,5.777738693467336
85,5.765
86,5.882703862660945
87,5.890928270042194
88,5.88875939849624
89,5.871527777777778
90,5.765762711864407
91,5.86123595505618
92,5.866653992395437
93,5.89824427480916
94,5.925034482758621
95,6.001879432624113
96,5.967796610169492
97,5.959222614840988
98,5.906296296296296
99,5.909917012448132
