window_number,emotion_score
0,5.307910447761194
1,5.19192
2,5.176929824561404
3,5.185110497237568
4,5.19875
5,5.209341317365269
6,5.214226190476191
7,5.30734756097561
8,5.315754716981132
9,5.361704918032786
10,5.429087719298246
11,5.404285714285715
12,5.328414096916299
13,5.487409090909091
14,5.5887007874015735
15,5.599789029535866
16,5.609960159362551
17,5.597400881057269
18,5.5176923076923075
19,5.537281105990783
20,5.525642201834863
21,5.525642201834863
22,5.526341463414634
23,5.526341463414634
24,5.556020408163265
25,5.646282051282051
26,5.479672131147541
27,5.21718232044199
28,5.195
29,5.196182795698926
30,5.221771428571429
31,5.212388888888889
32,5.324174757281553
33,5.306875
34,5.316739130434782
35,5.317389380530973
36,5.328117154811716
37,5.328117154811716
38,5.290274509803922
39,5.418
40,5.493795620437956
41,5.521567944250871
42,5.5161920529801325
43,5.471764705882353
44,5.424584980237155
45,5.438901960784314
46,5.395568181818181
47,5.395568181818181
48,5.389402390438247
49,5.407854251012146
50,5.41379679144385
51,5.461951219512195
52,5.344032258064516
53,5.214183673469388
54,5.176071428571428
55,5.2124999999999995
56,5.16764705882353
57,5.28
58,4.952
59,4.952
60,4.952
61,4.961666666666667
62,4.961666666666667
63,4.961666666666667
64,5.018571428571429
65,5.0736
66,5.106086956521739
67,5.127536231884058
68,5.127536231884058
69,5.127536231884058
70,5.149411764705882
71,5.186486486486487
72,5.1814492753623185
73,5.204761904761904
74,5.204761904761904
75,5.204761904761904
76,5.221754385964912
77,5.2775
78,4.975
79,5.6066666666666665
80,5.325714285714286
81,5.325714285714286
82,5.325714285714286
83,5.171428571428572
84,5.171428571428572
85,5.171428571428572
86,5.171428571428572
87,4.916363636363637
88,4.916363636363637
89,4.916363636363637
90,4.916363636363637
91,4.916363636363637
92,4.977142857142858
93,4.977142857142858
94,5.607058823529411
95,5.712999999999999
96,5.718165137614679
97,5.718165137614679
98,5.762816901408451
99,5.869542483660131
