window_number,emotion_score
0,5.641028708133972
1,5.572408376963351
2,5.576422535211267
3,5.5672093023255815
4,5.562809667673716
5,5.618754208754209
6,5.62976821192053
7,5.750984126984127
8,5.8313836477987415
9,5.855488215488216
10,5.884695945945946
11,5.845191637630662
12,5.827620689655172
13,5.839761904761905
14,5.946610644257703
15,5.978286604361371
16,5.968746081504702
17,5.966862068965517
18,6.015036231884057
19,6.001688311688311
20,6.001040723981901
21,6.0135193133047204
22,6.0046601941747575
23,6.042027649769585
24,6.127039106145252
25,6.117816091954024
26,5.967807017543859
27,5.911376811594203
28,5.934671532846715
29,5.934883720930232
30,5.934057142857143
31,5.8420689655172415
32,5.858258928571429
33,5.904285714285715
34,5.898145161290322
35,5.849430894308943
36,5.866804511278196
37,5.8244827586206895
38,5.8415241635687725
39,5.894007352941177
40,5.931960784313726
41,5.9278073089701
42,5.9031329113924045
43,5.943489208633094
44,5.957807692307692
45,5.935252100840335
46,5.880675105485231
47,5.814396551724138
48,5.82459090909091
49,5.851745283018867
50,5.846958762886597
51,5.7334146341463414
52,5.658120805369127
53,5.581
54,5.694640522875817
55,5.803229166666667
56,5.79015306122449
57,5.733024390243902
58,5.704401913875598
59,5.768578199052133
60,5.7435784313725495
61,5.772943925233644
62,5.772943925233644
63,5.738442211055276
64,5.7626903553299496
65,5.759107142857142
66,5.776037735849057
67,5.718633093525181
68,5.761475409836065
69,5.905980392156861
70,6.042876712328766
71,6.037159090909091
72,6.037159090909091
73,6.029239130434782
74,6.029809523809524
75,5.921083333333333
76,5.958928571428571
77,5.961989247311827
78,5.938045977011495
79,5.889834254143646
80,5.8234574468085105
81,5.870698924731183
82,5.8483888888888895
83,5.8431428571428565
84,5.8431428571428565
85,5.79724358974359
86,5.795799999999999
87,5.7727941176470585
88,5.757592592592592
89,5.672112676056337
90,5.761688311688312
91,5.904220183486238
92,5.945980392156862
93,6.007339449541284
94,5.968439306358381
95,5.900714285714286
96,5.913043478260871
97,5.950887096774193
98,5.961411764705883
99,6.007328519855596
