sentence_index,agent,
135,the Wizard of Oz,
135,the Tin Woodman,
136,the Tin Woodman,
136,the Tin Woodman,
137,me,
137,the Wizard of Oz,
138,you,
139,you,
140,you,
140,the girl,
141,you,
141,you,
141,the girl,
141,you,
141,the girl,
141,you,
142,The Tin Woodman,
142,The Tin Woodman,
143,the Scarecrow Bear,
143,the Scarecrow Bear,
144,the Scarecrow Bear,
144,the boy Woot the Wanderer,
144,the boy Woot the Wanderer,
145,The Tin Woodman,
146,he,
146,he,
146,he,
147,Nimmie Amee,
148,this strange Woot the Wanderer,
148,he,
148,he,
149,he,
149,he,
149,he,
149,he,
150,the Scarecrow Bear,
151,you,
152,you,
153,me,
154,me,
154,me,
154,me,
155,me,
155,me,
155,me,
155,me,
155,a man,
156,"Woot the Wanderer , well pleased with the idea of the adventure",
157,the Tin Woodman,
159,you,
160,the Tin Woodman,
161,we,
161,"the Scarecrow Bear , who was always glad to embark upon a new adventure",
161,who,
162,who,
162,"the Scarecrow Bear , who was always glad to embark upon a new adventure",
162,we,
163,the Emperor,
164,the Emperor,
164,the Emperor,
164,my servants,
165,Roundabout Woot the Woot the Wanderer,
165,Roundabout Woot the Woot the Wanderer,
166,he,
166,tin birds,
167,"by the clever Winkie tinsmiths , who wound tin birds up every morning so that tin birds would move about and sing",
167,the clever Winkie tinsmiths,
167,tin birds,
168,he,
168,the Emperor,
168,by a servant,
168,other servants,
169,he,
173,Woot the Wanderer,
173,Woot the Wanderer,
173,The Scarecrow Bear 's,
175,A knapsack,
176,the Wanderer,
177,The Tin Woodman,
177,the Scarecrow Bear,
177,the Scarecrow Bear,
177,his friend 's joints,
178,Who,
178,the boy,
179,the Winkie Country,
179,the Emperor 's,
180,the Emperor 's 's people,
181,the Emperor 's,
181,"a grand title , but very little real power",
182,The people of Oz,
182,The people of Oz,
182,you,
182,The people of Oz,
183,I,
183,I,
184,you,
184,us,
184,us,
184,a path,
185,I,
185,I,
185,I,
185,I,
186,that,
186,I,
186,you,
187,he,
187,Woot the Wanderer,
188,he,
189,I,
189,husband,
189,a kind husband,
192,I,
192,her,
192,her,
193,that,
193,that,
194,we,
194,"the Scarecrow Bear , who looked upon I as the leader of the party",
194,the Scarecrow Bear,
195,I,
196,we,
197,you,
197,me,
197,our,
198,me,
198,Nimmie Amee,
198,Nimmie Amee and Nimmie Amee,
198,me,
198,me,
198,me,
198,Nimmie Amee,
199,you,
199,you,
200,me,
200,me,
201,me,
202,I,
202,I,
202,a map of Oz,
203,we,
203,we,
203,the Tin Woodman,
205,I,
206,I,
207,A Woot the Wanderer,
207,"the Scarecrow Bear , who was wobbling along in a funny , haphazard manner , but keeping pace with A Woot the Wanderer 's friends",
207,the Scarecrow Bear,
207,the Scarecrow Bear,
208,Fear,
208,A Woot the Wanderer,
208,A Woot the Wanderer,
210,we,
210,the Emperor,
212,the Scarecrow Bear and I,
213,the Scarecrow Bear,
213,the Scarecrow Bear,
213,the Scarecrow Bear,
