sentence_index,agent,
223,The shaggy man,
224,Button - Bright,
224,I,
226,He,
226,He is head,
226,head,
226,He,
227,Dorothy the Lamb,
227,anyone,
228,people,
229,someone,
229,someone,
229,someone,
229,He,
231,she,
233,the broad collar of His 's blouse,
234,The boy,
235,she,
236,Button - Bright,
237,I,
238,Button - Bright,
239,Button - Bright,
239,I.,
239,I,
239,Button - Bright,
240,you,
240,you,
242,Dorothy the Lamb,
243,you,
246,her,
246,her,
247,you,
247,her,
248,"the shaggy man , who had been eating another apple",
248,the shaggy man,
248,someone,
248,someone,
248,her,
250,Toto,
250,he,
250,Toto,
251,Toto,
251,Toto,
251,Toto,
251,the boy,
251,Toto,
253,Dorothy the Lamb,
253,Dorothy the Lamb,
253,Dorothy the Lamb,
255,she,
257,Toto,
257,Toto,
257,Toto,
257,Toto,
257,Toto,
258,the shaggy man,
258,us,
259,you,
259,Dorothy the Lamb,
261,you,
262,you,
262,every road,
262,we,
263,we,
263,we,
264,Dorothy the Lamb,
265,Button - Bright,
265,Shaggy Man,
265,you,
265,Button - Bright,
266,They,
266,They,
266,you,
267,Button - Bright,
268,the Lamb,
268,the Lamb,
268,the Lamb,
268,Toto,
269,the shaggy man,
270,they,
270,a fine big arch,
270,they,
270,a fine big arch,
271,a fine big arch,
272,a large fox 's,
272,expression,
272,a large fox 's,
273,they,
273,a fine big arch,
273,a fine big arch spanning the road there,
273,a fine big arch,
274,They,
276,a wooden sword,
276,the sight of sharp teeth set in a row,
277,A captain,
278,our friends,
278,A captain,
280,Button - Bright,
281,the fox - captain,
281,the fox - captain,
282,Button - Bright,
283,the fox - captain,
284,That,
284,the shaggy man,
284,the shaggy man,
284,the shaggy man,
286,captain,
286,captain 's sharp features,
287,captain,
287,Dorothy the Lamb,
287,the Love Magnet,
287,all the foxes,
288,Toto,
288,Toto,
288,Toto,
288,Toto,
288,Toto,
289,the little girl,
289,the little girl,
291,Toto,
292,Toto,
293,You,
295,the great and wise sovereign,
296,You,
298,the captain,
298,the captain,
299,Button - Bright,
299,Button - Bright,
304,The soldiers,
305,friends,
307,a head,
307,the fox,
308,our friends,
308,some of the foxes,
309,the foxes,
310,Button - Bright,
310,Button - Bright,
310,the shaggy man,
311,Toto,
311,Toto,
311,Toto,
311,Toto,
311,Toto,
311,Dorothy the Lamb,
311,Dorothy the Lamb,
311,Toto,
312,Toto,
314,Dorothy the Lamb,
314,the royal palace,
314,the Lamb,
314,the only one,
315,many fox - soldiers,
315,many fox - soldiers,
315,many fox - soldiers guarding the door,
315,many fox - soldiers guarding the door,
316,the captain,
316,richly dressed foxes,
316,by fox - servants in white aprons,
319,The fox - captain,
319,The fox - captain,
319,a huge drum,
320,You,
320,The fox - captain,
320,The fox - captain,
320,The fox - captain,
320,Button - Bright,
321,The boy,
321,The boy,
321,The boy,
321,The boy,
321,The fox - captain,
322,The boy,
322,The boy,
322,Dorothy the Lamb,
322,the Lamb,
322,Dorothy the Lamb,
322,Dorothy the Lamb,
322,The fox - captain,
323,The golden curtains,
324,the captain with the others,
325,they,
325,other foxes,
325,all of whom,
326,Dorothy the Lamb,
326,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
327,Dorothy the Lamb,
328,The shaggy man,
328,Button - Bright,
328,Button - Bright,
329,the captain,
329,the captain,
329,the captain,
329,the captain,
329,the captain,
329,the road,
329,the captain,
330,the King,
330,the King,
331,What,
331,it,
331,The shaggy man,
333,the shaggy man,
334,The King,
334,the Magnet,
334,The King,
335,The King,
335,The King,
335,The King,
335,The King,
335,The King,
336,We,
336,We,
336,"We , The King",
336,We,
336,little Dorothy the Lamb 's,
338,This speech,
338,the little girl,
338,your Majesty,
339,everybody,
339,your Majesty,
340,my realize,
341,Princess Royal Ozma of Oz,
342,your Majesty,
343,my,
343,my,
344,I,
344,I,
344,I,
344,I,
344,I,
345,You,
345,her,
346,You,
347,You,
348,I,
348,You,
348,You,
349,Dorothy the Lamb,
350,Royal Ozma,
350,Dorothy the Lamb,
350,Dorothy the Lamb,
353,Dorothy the Lamb,
356,the Foxville - King,
356,the Foxville - King,
356,the Foxville - King,
357,Whatever,
357,she,
358,she,
358,she,
359,my dear,
360,me,
362,my dear,
363,my dear,
364,an hour or two,
366,Dorothy the Lamb,
367,the Foxville - King,
367,the Foxville - King,
370,she,
371,you,
371,you,
372,you,
373,Who,
373,you,
374,you,
375,something strange about me,
375,something strange about me,
375,you,
376,something strange about me,
376,something strange about me,
377,you,
377,you,
377,something strange about me,
377,something strange about me,
377,something strange about me,
378,you,
379,you,
380,the Foxville - King,
380,the Foxville - King,
382,Which,
382,your,
382,a new companion,
383,Dorothy the Lamb,
383,the Foxville - King,
384,King King Renard the Fourth,
384,to watch a new companion stare at King King Renard the Fourth in return,
385,No fox,
385,no child,
385,no child,
385,one,
385,one,
386,I,
386,no one,
386,this strange experience,
386,this strange experience,
387,the King,
388,the little boy,
390,his Majesty,
391,you,
391,Button - Bright,
393,his Majesty,
394,a King,
397,Button - Bright,
399,my,
399,my,
402,he,
404,he,
404,"one of the counselors , an old grey fox",
405,he,
406,he,
406,Button - Bright,
406,Button - Bright,
410,Button - Bright,
411,you,
411,two and two,
412,Button - Bright,
414,you,
415,Nobody,
415,we,
415,we,
417,those curls and blue eyes,
417,you,
417,those curls and blue eyes,
418,I,
419,I,
419,you,
420,I,
420,I,
420,I,
422,Dorothy the Lamb,
424,Dorothy the Lamb,
424,Dorothy the Lamb,
425,Dorothy the Lamb,
426,she,
426,Button - Bright,
426,Button,
427,she,
427,the King,
428,Button - Bright,
428,she,
431,you,
435,your Majesty,
436,I,
436,I,
436,I,
436,I,
437,Button - Bright,
437,Button - Bright,
437,Button - Bright,
438,Both I and Dorothy the Lamb,
438,such a misfortune,
439,Toto,
439,Toto,
439,Toto 's,
439,Dorothy the Lamb,
439,Dorothy the Lamb,
440,the foxes,
440,the foxes 's King,
441,the boy,
441,the boy,
442,the boy,
443,Dorothy the Lamb,
443,Dorothy the Lamb,
444,"three little fox - princesses , daughters of the King",
444,"three little fox - princesses , daughters of the King",
444,one,
445,the next one,
446,the third princess,
446,the third princess,
447,he,
447,he,
447,he,
447,the biggest fox - princess,
448,he,
448,the next,
449,us,
449,the third princess,
450,This praise,
450,This praise,
450,he,
450,he,
450,he,
451,Dorothy the Lamb,
452,I,
452,we,
452,we,
452,I,
452,I,
452,the King,
452,the King,
453,the King,
454,the King,
454,the King,
455,Dorothy the Lamb,
456,she,
456,this,
456,she,
456,she,
456,Royal Ozma,
456,she,
456,you,
457,you,
457,you,
458,the King,
459,the King,
459,you,
460,you,
460,you,
461,They,
461,some of the fox - servants,
462,the Lamb,
463,a maid - fox,
463,a maid - fox,
463,Dorothy,
463,a maid - fox,
463,another maid - fox,
463,another maid - fox,
463,another maid - fox,
464,the fox - servants,
464,the fox - servants,
464,the foxes,
464,neither of them,
464,neither of them,
465,A sailor suit and a fox head,
465,one of the fox - servants,
465,one of the maids,
466,I.,
466,the maid,
467,I,
467,I,
468,I,
469,Dorothy the Lamb,
469,Dorothy the Lamb,
469,Dorothy the Lamb,
469,Dorothy the Lamb,
470,we,
470,she,
470,the Princess,
470,you,
470,you,
471,the foxes,
471,you,
471,you,
472,Dorothy the Lamb,
472,the maids,
473,they,
473,they,
474,the shaggy man,
474,the shaggy man,
474,the shaggy man,
474,the shaggy man,
475,He,
475,He,
475,Dorothy the Lamb,
475,He,
476,foxes,
476,the company of foxes assembled to dine with the strangers 's rich dresses,
476,the company of foxes,
476,the company of foxes,
476,Bright 's sailor suit and He is shaggy clothes,
477,the company of foxes,
477,the company of foxes assembled to dine with the strangers,
478,you,
478,the company of foxes,
478,the strangers,
478,the King 's 's,
478,the King 's 's,
479,the company of foxes,
479,the company of foxes assembled to dine with the strangers,
479,the company of foxes,
479,the company of foxes assembled to dine with the strangers,
479,by foxes dressed in costumes of brilliantly colored feathers,
480,by some wicked wolves,
480,some wicked wolves,
480,by some wicked wolves,
480,a fox - girl,
480,by some wicked wolves,
480,a company of fox - soldiers,
480,a company of fox - soldiers,
480,by some wicked wolves,
480,a company of fox - soldiers,
481,you,
482,the King,
483,you,
484,The play,
485,me,
487,me,
488,Aesop,
488,Aesop,
488,you,
489,Aesop 's fables,
489,you,
491,we,
491,the King,
492,we,
492,we 's,
492,we,
492,horrid Aesop,
492,horrid Aesop,
493,They,
493,They,
493,They,
493,horrid Aesop,
493,They,
493,Button - Bright,
494,they,
494,they,
494,they,
494,they,
495,Dorothy the Lamb,
495,the animals,
495,the animals living in Foxville,
495,just the animals,
495,Dorothy the Lamb,
495,the,
495,the,
495,the Fourth,
495,the animals,
495,the animals living in Foxville,
495,the animals,
495,the animals,
496,Dorothy the Lamb,
496,the Lamb,
497,King King Renard the Fourth,
497,human beings,
498,your 's neighbors,
498,both civilized foxes and civilized humans,
498,both civilized foxes and civilized humans,
499,I.,
499,the King,
499,the King,
500,they,
500,they,
500,they,
501,Dorothy the Lamb,
501,they,
502,the King,
502,they,
503,I,
503,I,
503,I,
504,he,
504,I,
504,he,
504,he,
505,he,
505,he,
505,I,
506,I,
506,I,
506,her,
506,I,
507,The Foxville - King,
507,he,
507,the fox - captain,
507,them,
508,they,
508,more soldiers,
509,Dorothy the Lamb,
510,they,
510,the captain,
511,the road,
511,"by big , stupid beasts who might cause they trouble if big , stupid beasts who might cause us trouble if they thought we were afraid of them thought they were afraid of big , stupid beasts who might cause us trouble if they thought we were afraid of them",
511,"big , stupid beasts",
511,"big , stupid beasts",
511,"big , stupid beasts",
511,they,
511,"big , stupid beasts",
511,they,
512,"big , stupid beasts",
512,they,
512,the shaggy man,
513,The captain,
513,The captain,
514,The captain,
514,You,
516,Button - Bright,
516,Button - Bright,
516,Button - Bright,
516,Button - Bright,
517,This,
517,the Lamb and the shaggy man,
517,The captain,
518,their escort,
518,their escort,
518,their,
519,Toto,
519,Toto,
519,Toto,
521,Birds,
521,cunning white rabbits,
521,Dorothy the Lamb,
521,even the ants,
521,even the ants,
522,their,
522,even little Button - Bright,
523,they,
523,they,
524,"A little girl , radiant and beautiful , shapely as a fairy and exquisitely dressed",
525,"flowing , fluffy robes of soft material",
526,by either pin or ornament or ribbon,
526,by either pin or ornament or ribbon,
527,they,
529,The girl,
529,The girl,
529,The girl,
530,The girl,
530,Dorothy the Lamb,
531,The girl,
531,The girl,
531,Dorothy the Lamb,
533,Dorothy the Lamb,
533,Dorothy the Lamb,
533,we,
537,Dorothy the Lamb,
538,You,
538,Dorothy the Lamb,
539,You,
540,You,
540,You,
541,Dorothy the Lamb,
544,she,
548,Dorothy the Lamb,
548,Dorothy the Lamb,
548,the Rainbow,
549,the Lamb,
549,the Lamb,
551,the Rainbow,
553,The little maiden,
553,The little maiden,
555,The little maiden,
558,Shaggy Man,
558,you,
558,the Foxville - King,
559,I,
559,I,
560,The Rainbow 's Daughter,
562,The Rainbow 's Daughter,
562,The Rainbow 's Daughter,
564,I,
566,I,
566,Toto,
567,I,
567,I,
567,I,
568,"the shaggy man , who had listened wonderingly to all this",
568,the shaggy man,
569,my father,
569,one end of his rainbow,
569,the Rainbow 's Daughter,
569,the Rainbow 's Daughter,
569,the Rainbow 's Daughter,
570,the Rainbow 's Daughter,
571,my father,
571,my father,
571,the Rainbow 's Daughter,
571,the Rainbow 's Daughter,
571,the Rainbow 's Daughter,
572,Dorothy the Lamb,
573,Polly the Rainbow,
573,Polly the Rainbow,
574,Polly the Rainbow 's dance,
574,Polly the Rainbow,
576,your father,
577,you,
577,me,
579,you,
579,you,
580,"by a friend of you , the Princess Royal Ozma",
580,us,
580,the Princess Royal Ozma,
580,the Princess Royal Ozma,
581,you,
581,Polly the Rainbow,
583,I,
583,I,
583,father,
583,father,
583,father,
583,the shaggy man,
584,Polly the Rainbow,
584,Polly the Rainbow,
584,Polly the Rainbow,
584,Polly the Rainbow,
584,Polly the Rainbow,
585,Polly the Rainbow,
585,cheeks,
585,Polly the Rainbow,
585,Polly the Rainbow,
586,they,
586,the Rainbow,
586,Polly the Rainbow 's dancing and laughter -- for Polly the Rainbow laughed at times like the tinkling of a silver bell --,
586,Polly the Rainbow 's dancing and laughter -- for Polly the Rainbow laughed at,
586,Polly the Rainbow 's dancing and laughter,
587,they,
587,they,
588,the shaggy man,
588,the shaggy man,
589,you,
589,Polly the Rainbow,
590,Dorothy the Lamb,
591,We,
594,The Rainbow 's Daughter,
594,Button - Bright,
596,The Rainbow 's Daughter,
597,He,
598,you,
598,I,
599,Button - Bright,
600,I,
600,He,
601,I,
601,I,
601,I,
601,He,
602,she,
602,she,
602,she,
603,a fly,
603,"Dorothy the Lamb , who was making a good meal Dorothy the Lamb , who was making a good meal herself",
603,Dorothy the Lamb,
603,the Lamb,
604,Dorothy the Lamb,
604,"Dorothy the Lamb , who was making a good meal herself",
604,some people in Oz,
605,some people in Oz,
605,the shaggy man,
607,They,
607,you,
607,They,
608,Button - Bright,
609,Dorothy the Lamb,
610,the Lamb,
611,Dorothy the Lamb,
611,the shaggy man,
611,the shaggy man,
612,I,
612,I,
612,I,
612,I,
613,I,
613,you,
613,I,
614,the Scarecrow of Oz,
616,the Scarecrow of Oz,
616,you,
616,you,
616,the Scarecrow of Oz,
616,you,
617,they,
617,they,
617,the Rainbow 's Daughter,
618,the Rainbow 's Daughter,
618,the Rainbow 's Daughter,
618,the Rainbow 's Daughter,
620,Dorothy,
620,the fox - people,
621,they,
621,stupid beasts of some sort,
622,Button - Bright,
622,Polly the Rainbow,
623,Polly the Rainbow,
624,the shaggy man,
624,the shaggy man,
624,thing,
624,every living thing,
624,the shaggy man,
625,This,
627,the shaggy man,
627,we,
628,they,
628,Dorothy the Lamb,
629,we,
629,we,
629,they,
629,the shaggy man,
630,the shaggy man,
631,the shaggy man,
631,they,
631,they,
632,the road,
634,thing,
635,them,
635,by a harsh clamor of sound that swelled and echoed on every side and,
635,that,
635,that,
637,They,
637,the noise,
637,They,
637,They,
638,a row of donkeys,
639,The shaggy man,
639,The shaggy man,
641,The shaggy man,
641,the nearest donkey,
641,the nearest donkey,
641,the nearest donkey,
641,the nearest donkey,
642,He,
642,He,
643,The donkeys,
644,The donkeys,
644,He,
645,The donkeys,
645,one of The donkeys,
646,the foxes,
646,the foxes,
646,the noise,
647,the shaggy man,
648,I,
648,I,
649,the donkey,
649,the donkey,
650,We,
650,We,
650,the whole army of foxes,
650,the whole army of foxes,
651,the shaggy man,
652,He,
652,He,
653,I,
653,the donkey,
653,the donkey,
653,the donkey 's,
654,we,
654,we,
654,all we 's,
655,The other donkeys,
656,The other donkeys,
656,donkeys,
656,wide,
656,wide,
656,white collars,
657,The gentlemen - donkeys,
657,the lady - donkeys,
658,they,
658,many,
659,they,
659,they,
659,they,
660,they,
660,you,
660,you,
660,the Lamb,
660,they,
662,they 's broad collars and caps,
663,I,
663,I,
664,we,
664,a grey donkey which had not spoken before,
664,a grey donkey,
665,I,
665,I,
665,I,
665,cards,
666,I,
666,I,
666,we,
667,These big words,
667,These big words,
667,we,
668,the grey one,
668,his great and glorious Majesty King Kik - a - bray,
669,Dorothy the Lamb,
670,some one,
671,we all,
671,the grey one,
672,The word ' donkey ',
672,Dorothy the Lamb,
673,I,
673,I,
674,I,
674,it,
676,I,
676,I,
678,All donkeys,
678,the grey one,
679,They,
680,the houses of the town,
680,a haphazard manner,
680,for a stranger to find a stranger 's way,
680,a stranger,
681,Stupid people,
681,Stupid people,
681,the grey one,
681,the grey one,
681,clever donkeys,
683,Dorothy the Lamb,
683,Dorothy the Lamb,
683,nothing,
684,Dorothy the Lamb,
684,Dorothy the Lamb,
685,One,
685,the grey donkey,
686,I,
686,Dorothy the Lamb,
688,he,
689,two youthful donkeys,
689,Dorothy the Lamb,
689,Dorothy the Lamb,
690,two youthful donkeys,
690,two youthful donkeys,
690,two youthful donkeys,
690,two youthful donkeys,
690,two youthful donkeys,
691,Button - Bright,
692,he,
692,we,
692,we 's youngsters,
693,they,
693,Dorothy the Lamb,
694,All donkeys,
695,those,
696,he,
696,he,
696,the shaggy man,
697,The grey donkey,
697,a house,
698,I,
698,I.,
698,I,
702,a donkey 's head,
702,a donkey 's head,
705,a donkey 's head,
706,the grey one,
708,the King,
710,the King,
710,them,
710,a big room,
711,a big room,
711,the King,
711,the King,
712,a big room,
712,a little brown donkey,
712,a little brown donkey,
712,a little brown donkey,
712,the King,
713,his Majesty,
713,his Majesty,
713,you,
713,his Majesty,
714,his Majesty,
714,the shaggy man,
714,who,
715,the shaggy man,
