sentence_index,agent,,,,,
92,Queen Ann,,,,,
93,"the eighteenth and last man in Oogaboo , who was a young fellow named Jo Files",,,,,
93,twelve trees,,,,,
93,"the eighteenth and last man in Oogaboo , who was a young fellow named Jo Files",,,,,
94,you,,,,,
94,I,,,,,
95,those in Jo Files ' orchard,,,,,
98,Jo Files,,,,,
98,all,,,,,
98,the people of Oogaboo,,,,,
98,Jo Files,,,,,
99,you,,,,,
100,Queen Ann Soforth,,,,,
100,"this young man Jo Files , who was both intelligent and ambitious",,,,,
101,"this young man Jo Files , who was both intelligent and ambitious",,,,,
102,"this young man Jo Files , who was both intelligent and ambitious",,,,,
103,Queen Ann Soforth,,,,,
104,I,,,,,
104,I,,,,,
104,I,,,,,
105,Princess Royal Ozma,,,,,
105,Princess Royal Ozma,,,,,
106,my army,,,,,
106,Jo Files,,,,,
106,my army,,,,,
107,Jo Files,,,,,
107,the private soldiers,,,,,
107,no officer,,,,,
108,I 's officers,,,,,
109,I,,,,,
109,I,,,,,
109,I,,,,,
110,I,,,,,
110,I,,,,,
110,I,,,,,
110,all,,,,,
112,Ann Soforth,,,,,
112,Ann Soforth 's hopes of success,,,,,
112,Private Files,,,,,
112,Private Files,,,,,
112,a gun - tree,,,,,
112,a gun - tree,,,,,
114,The sixteen officers,,,,,
114,swords,,,,,
115,The Private,,,,,
115,The Private,,,,,
115,The Private,,,,,
115,The Private,,,,,
115,officers,,,,,
116,The women,,,,,
116,Queen Ann Soforth Soforth,,,,,
116,Queen Ann Soforth,,,,,
116,The women,,,,,
116,Queen Ann Soforth,,,,,
116,The women,,,,,
117,uniform,,,,,
118,Queen Ann Soforth,,,,,
118,Queen Ann Soforth Soforth,,,,,
118,Queen Ann Soforth Soforth,,,,,
119,she,,,,,
121,she,,,,,
122,Salye,,,,,
122,Salye,,,,,
123,Salye,,,,,
123,The Army,,,,,
123,The Army,,,,,
123,Salye,,,,,
124,General Jo Bunn,,,,,
125,We,,,,,
125,you,,,,,
126,We,,,,,
126,We,,,,,
127,my,,,,,
127,my,,,,,
128,the story - books all,,,,,
129,Ann Soforth,,,,,
134,us,,,,,
135,Generals,,,,,
135,Generals,,,,,
136,Generals,,,,,
136,swords,,,,,
136,Generals,,,,,
138,the Colonels,,,,,
138,the Majors,,,,,
138,the Captains,,,,,
139,Jo Files,,,,,
139,Jo Files,,,,,
139,all the officers,,,,,
140,in Queen Ann Soforth 's noble army,,,,,
140,Queen Ann Soforth,,,,,
140,Queen Ann Soforth,,,,,
140,Queen Ann Soforth,,,,,
141,the procession,,,,,
141,the procession,,,,,
141,the narrow mountain pass,,,,,
142,her noble armyOogaboo,,,,,
143,Princess Royal Ozma the lovely Fairyland of Oz,,,,,
143,Princess,,,,,
144,one,,,,,
144,one,,,,,
145,Royal Ozma,,,,,
145,her,,,,,
147,a child,,,,,
147,her,,,,,
147,her,,,,,
148,her,,,,,
148,"Ann Soforth , Queen of Oogaboo",,,,,
148,"Ann Soforth , Queen of Oogaboo",,,,,
148,"Ann Soforth , Queen of Oogaboo",,,,,
148,"Ann Soforth , Queen of Oogaboo",,,,,
149,"by the magic arts of her and the powerful Wizard of the Land of Oz -- both Ann Soforth , Queen of Oogaboo 's firm friends --",,,,,
149,"Ann Soforth , Queen of Oogaboo , supported by the magic arts of her and the powerful Wizard of the Land of Oz -- both Ann Soforth , Queen of Oogaboo 's firm friends --",,,,,
149,army,,,,,
149,by any sort of quarreling or fighting,,,,,
150,Glinda the Sorceress,,,,,
151,Glinda the Sorceress,,,,,
151,Glinda the Sorceress,,,,,
151,a magical ceremony,,,,,
151,the mountain pass,,,,,
151,the mountain pass that led from Oogaboo,,,,,
152,the mountain pass,,,,,
152,by an invisible barrier,,,,,
153,Ann Soforth and her army,,,,,
153,by an invisible barrier,,,,,
153,the mountain pass,,,,,
