window_number,emotion_score
0,6.157087912087912
1,6.064338624338625
2,6.054055118110235
3,6.090622406639005
4,6.107636363636363
5,6.066914498141264
6,6.087575757575758
7,6.080514905149052
8,6.018506876227898
9,6.018506876227898
10,6.014677419354838
11,5.991573426573427
12,5.911461675579322
13,5.927469026548672
14,5.949950413223141
15,5.949253731343283
16,5.884938917975568
17,5.857713717693837
18,5.870455764075067
19,5.866074498567336
20,5.863413173652694
21,5.892207084468664
22,5.886793650793651
23,6.003
24,5.974307116104868
25,5.908449197860963
26,6.004615384615385
27,6.061628787878788
28,6.026955223880597
29,6.040027700831025
30,6.049999999999999
31,6.088634020618557
32,6.077615571776156
33,6.058728813559322
34,6.043411513859275
35,6.068865096359743
36,6.047274774774776
37,6.029441747572815
38,5.912279069767442
39,5.910532994923858
40,5.937139874739039
41,5.913897959183674
42,5.8575
43,5.824739454094294
44,5.824131578947369
45,5.823351498637602
46,5.808940568475452
47,5.782558139534883
48,5.891050583657588
49,5.896653992395437
50,5.768
51,5.767028985507245
52,5.833684210526316
53,5.949550561797753
54,6.007980295566502
55,6.007980295566502
56,6.081522842639593
57,6.112756756756758
58,6.112756756756758
59,6.134736842105263
60,6.2235971223021584
61,6.197358490566038
62,6.1876984126984125
63,6.159421487603306
64,6.073618421052632
65,6.027888198757763
66,6.000958904109589
67,6.000958904109589
68,5.9718248175182485
69,5.86486033519553
70,5.889744897959183
71,5.887376237623762
72,5.960471204188482
73,5.898525641025641
74,5.924509803921567
75,6.060922330097088
76,6.106799999999999
77,6.116808510638297
78,6.1272
79,6.206438356164383
80,6.239502262443438
81,6.239502262443438
82,6.26623188405797
83,6.232216494845361
84,6.156299559471366
85,6.1839805825242715
86,6.105643564356435
87,6.066915887850467
88,6.050100502512563
89,6.050100502512563
90,6.0984653465346526
91,6.048188976377952
92,6.021775147928994
93,6.032124645892351
94,6.09297994269341
95,6.102903225806452
96,6.090412698412698
97,6.117295373665479
98,6.116207729468599
99,6.026819923371647
